"年月","甲级高价酒店房间实际平均房租（港元）","乙级高价酒店房间实际平均房租（港元）","中价酒店房间实际平均房租（港元）"
"202102","1508","639","464"
"202103","1427","606","452"
"202104","1479","618","468"
"202105","1391","596","454"
"202106","1366","609","456"
"202107","1425","629","477"
"202108","1413","665","511"
"202109","1373","656","499"
"202110","1460","658","524"
"202111","1424","655","499"
"202112","1730","752","546"
"202201","1541","703","552"
"202202","1535","760","645"
"202203","1622","823","759"
"202204","1729","834","721"
"202205","1671","807","722"
"202206","1769","839","667"
"202207","1748","864","686"
"202208","1765","942","756"
"202209","1794","910","721"
"202210","1688","790","592"
"202211","1680","781","556"
"202212","1826","838","578"
"202301","1801","792","553"
"202302","2005","889","592"
"202303","2401","1079","690"
"202304","2534","1251","812"
"202305","2311","1064","694"
"202306","2273","1019","678"
"202307","2296","1086","758"
"202308","2424","1160","849"
"202309","2383","1093","725"
"202310","2546","1233","820"
"202311","2494","1208","787"
"202312","2752","1325","860"
"202401","2458","1124","749"
"202402","2466","1195","813"
"202403","2303","1052","713"
"202404","2299","1155","748"
"202405","2260","972","669"
"202406","2143","901","596"
"202407","2037","936","633"
"202408","2044","973","675"
"202409","1979","924","606"
"202410","2211","1099","749"
"202411","2190","1119","755"
"202412","2462","1171","756"
"202501","2283","1056","613"
"202502","2038","974","570"
"202503","2232","1027","590"
"202504","2114","1034","609"
"202505","2057","912","577"
"202506","1944","839","481"
"202507","1932","892","588"
"202508","2047","969","639"
"202509","2022","898","517"
"202510","2333","1139","707"
"202511","2424","1175","731"
"202512","2607","1192","705"
"202601","2371","1040","617"
