Year,Month_Num,Checkpoint,Checkpoint_Type,Has_Vehicle_Data,Direction,Mainland_Visitors,Mainland_Visitors_MoM,Mainland_Visitors_YoY,Total_Passengers,Total_Passengers_MoM,Total_Passengers_YoY,Private_Cars,Tour_Buses,Cross_Border_Shuttle_Buses,Trucks_Containers
2021,1,Airport,Airport,N,Inbound,114,,,16924,,,0,0,0,0
2021,2,Airport,Airport,N,Inbound,93,-18.42,,13320,-21.3,,0,0,0,0
2021,3,Airport,Airport,N,Inbound,126,35.48,,13582,1.97,,0,0,0,0
2021,4,Airport,Airport,N,Inbound,110,-12.7,,12388,-8.79,,0,0,0,0
2021,5,Airport,Airport,N,Inbound,154,40.0,,15647,26.31,,0,0,0,0
2021,6,Airport,Airport,N,Inbound,565,266.88,,22618,44.55,,0,0,0,0
2021,7,Airport,Airport,N,Inbound,525,-7.08,,21366,-5.54,,0,0,0,0
2021,8,Airport,Airport,N,Inbound,386,-26.48,,31177,45.92,,0,0,0,0
2021,9,Airport,Airport,N,Inbound,296,-23.32,,24835,-20.34,,0,0,0,0
2021,10,Airport,Airport,N,Inbound,272,-8.11,,25020,0.74,,0,0,0,0
2021,11,Airport,Airport,N,Inbound,596,119.12,,25470,1.8,,0,0,0,0
2021,12,Airport,Airport,N,Inbound,401,-32.72,,27269,7.06,,0,0,0,0
2022,1,Airport,Airport,N,Inbound,441,9.98,286.84,15875,-41.78,-6.2,0,0,0,0
2022,2,Airport,Airport,N,Inbound,107,-75.74,15.05,10319,-35.0,-22.53,0,0,0,0
2022,3,Airport,Airport,N,Inbound,81,-24.3,-35.71,8923,-13.53,-34.3,0,0,0,0
2022,4,Airport,Airport,N,Inbound,276,240.74,150.91,42630,377.75,244.12,0,0,0,0
2022,5,Airport,Airport,N,Inbound,8831,3099.64,5634.42,70351,65.03,349.61,0,0,0,0
2022,6,Airport,Airport,N,Inbound,30222,242.23,5249.03,102680,45.95,353.97,0,0,0,0
2022,7,Airport,Airport,N,Inbound,33608,11.2,6301.52,124478,21.23,482.6,0,0,0,0
2022,8,Airport,Airport,N,Inbound,38217,13.71,9800.78,173171,39.12,455.44,0,0,0,0
2022,9,Airport,Airport,N,Inbound,41005,7.3,13753.04,156204,-9.8,528.97,0,0,0,0
2022,10,Airport,Airport,N,Inbound,38339,-6.5,13995.22,260626,66.85,941.67,0,0,0,0
2022,11,Airport,Airport,N,Inbound,48415,26.28,8023.32,405117,55.44,1490.57,0,0,0,0
2022,12,Airport,Airport,N,Inbound,55497,14.63,13739.65,587517,45.02,2054.52,0,0,0,0
2023,1,Airport,Airport,N,Inbound,94966,71.12,21434.24,832859,41.76,5146.36,0,0,0,0
2023,2,Airport,Airport,N,Inbound,138918,46.28,129729.91,801176,-3.8,7664.09,0,0,0,0
2023,3,Airport,Airport,N,Inbound,210043,51.2,259212.35,1063975,32.8,11823.96,0,0,0,0
2023,4,Airport,Airport,N,Inbound,204703,-2.54,74067.75,1320911,24.15,2998.55,0,0,0,0
2023,5,Airport,Airport,N,Inbound,248522,21.41,2714.2,1258219,-4.75,1688.49,0,0,0,0
2023,6,Airport,Airport,N,Inbound,243381,-2.07,705.31,1365104,8.49,1229.47,0,0,0,0
2023,7,Airport,Airport,N,Inbound,281614,15.71,737.94,1529737,12.06,1128.92,0,0,0,0
2023,8,Airport,Airport,N,Inbound,307229,9.1,703.91,1701956,11.26,882.82,0,0,0,0
2023,9,Airport,Airport,N,Inbound,217070,-29.35,429.37,1280030,-24.79,719.46,0,0,0,0
2023,10,Airport,Airport,N,Inbound,281914,29.87,635.32,1596821,24.75,512.69,0,0,0,0
2023,11,Airport,Airport,N,Inbound,212840,-24.5,339.62,1549537,-2.96,282.49,0,0,0,0
2023,12,Airport,Airport,N,Inbound,250977,17.92,352.24,1792346,15.67,205.07,0,0,0,0
2024,1,Airport,Airport,N,Inbound,296567,18.17,212.29,1662402,-7.25,99.6,0,0,0,0
2024,2,Airport,Airport,N,Inbound,392220,32.25,182.34,1681135,1.13,109.83,0,0,0,0
2024,3,Airport,Airport,N,Inbound,253958,-35.25,20.91,1650503,-1.82,55.13,0,0,0,0
2024,4,Airport,Airport,N,Inbound,250908,-1.2,22.57,1754938,6.33,32.86,0,0,0,0
2024,5,Airport,Airport,N,Inbound,328162,30.79,32.05,1632063,-7.0,29.71,0,0,0,0
2024,6,Airport,Airport,N,Inbound,281023,-14.36,15.47,1711301,4.86,25.36,0,0,0,0
2024,7,Airport,Airport,N,Inbound,349218,24.27,24.01,1885635,10.19,23.27,0,0,0,0
2024,8,Airport,Airport,N,Inbound,402664,15.3,31.06,2048659,8.65,20.37,0,0,0,0
2024,9,Airport,Airport,N,Inbound,245197,-39.11,12.96,1519019,-25.85,18.67,0,0,0,0
2024,10,Airport,Airport,N,Inbound,357635,45.86,26.86,1880554,23.8,17.77,0,0,0,0
2024,11,Airport,Airport,N,Inbound,229770,-35.75,7.95,1750925,-6.89,13.0,0,0,0,0
2024,12,Airport,Airport,N,Inbound,275718,20.0,9.86,2045616,16.83,14.13,0,0,0,0
2025,1,Airport,Airport,N,Inbound,420634,52.56,41.83,1943312,-5.0,16.9,0,0,0,0
2025,2,Airport,Airport,N,Inbound,325914,-22.52,-16.91,1804094,-7.16,7.31,0,0,0,0
2025,3,Airport,Airport,N,Inbound,258230,-20.77,1.68,1780605,-1.3,7.88,0,0,0,0
2025,4,Airport,Airport,N,Inbound,266118,3.05,6.06,2008866,12.82,14.47,0,0,0,0
2025,5,Airport,Airport,N,Inbound,337641,26.88,2.89,1831288,-8.84,12.21,0,0,0,0
2025,6,Airport,Airport,N,Inbound,321761,-4.7,14.5,1738435,-5.07,1.59,0,0,0,0
2025,7,Airport,Airport,N,Inbound,383804,19.28,9.9,1916705,10.25,1.65,0,0,0,0
2025,8,Airport,Airport,N,Inbound,444675,15.86,10.43,2222322,15.94,8.48,0,0,0,0
2025,9,Airport,Airport,N,Inbound,268467,-39.63,9.49,1538579,-30.77,1.29,0,0,0,0
2025,10,Airport,Airport,N,Inbound,416298,55.06,16.4,2052622,33.41,9.15,0,0,0,0
2021,1,Airport,Airport,N,Outbound,484,,,28880,,,0,0,0,0
2021,2,Airport,Airport,N,Outbound,234,-51.65,,18161,-37.12,,0,0,0,0
2021,3,Airport,Airport,N,Outbound,378,61.54,,21860,20.37,,0,0,0,0
2021,4,Airport,Airport,N,Outbound,259,-31.48,,22636,3.55,,0,0,0,0
2021,5,Airport,Airport,N,Outbound,267,3.09,,26610,17.56,,0,0,0,0
2021,6,Airport,Airport,N,Outbound,639,139.33,,36828,38.4,,0,0,0,0
2021,7,Airport,Airport,N,Outbound,753,17.84,,51283,39.25,,0,0,0,0
2021,8,Airport,Airport,N,Outbound,523,-30.54,,48308,-5.8,,0,0,0,0
2021,9,Airport,Airport,N,Outbound,766,46.46,,45888,-5.01,,0,0,0,0
2021,10,Airport,Airport,N,Outbound,954,24.54,,33523,-26.95,,0,0,0,0
2021,11,Airport,Airport,N,Outbound,837,-12.26,,31861,-4.96,,0,0,0,0
2021,12,Airport,Airport,N,Outbound,703,-16.01,,44325,39.12,,0,0,0,0
2022,1,Airport,Airport,N,Outbound,881,25.32,82.02,36141,-18.46,25.14,0,0,0,0
2022,2,Airport,Airport,N,Outbound,2101,138.48,797.86,55979,54.89,208.24,0,0,0,0
2022,3,Airport,Airport,N,Outbound,1494,-28.89,295.24,67067,19.81,206.8,0,0,0,0
2022,4,Airport,Airport,N,Outbound,823,-44.91,217.76,53573,-20.12,136.67,0,0,0,0
2022,5,Airport,Airport,N,Outbound,2876,249.45,977.15,64971,21.28,144.16,0,0,0,0
2022,6,Airport,Airport,N,Outbound,10217,255.25,1498.9,107219,65.03,191.13,0,0,0,0
2022,7,Airport,Airport,N,Outbound,20371,99.38,2605.31,128388,19.74,150.35,0,0,0,0
2022,8,Airport,Airport,N,Outbound,27306,34.04,5121.03,142483,10.98,194.95,0,0,0,0
2022,9,Airport,Airport,N,Outbound,36342,33.09,4644.39,171149,20.12,272.97,0,0,0,0
2022,10,Airport,Airport,N,Outbound,32565,-10.39,3313.52,270438,58.01,706.72,0,0,0,0
2022,11,Airport,Airport,N,Outbound,42562,30.7,4985.07,398443,47.33,1150.57,0,0,0,0
2022,12,Airport,Airport,N,Outbound,52268,22.8,7334.99,679775,70.61,1433.62,0,0,0,0
2023,1,Airport,Airport,N,Outbound,78327,49.86,8790.69,773484,13.79,2040.18,0,0,0,0
2023,2,Airport,Airport,N,Outbound,122383,56.25,5724.99,733002,-5.23,1209.42,0,0,0,0
2023,3,Airport,Airport,N,Outbound,178360,45.74,11838.42,1088349,48.48,1522.78,0,0,0,0
2023,4,Airport,Airport,N,Outbound,188141,5.48,22760.39,1263449,16.09,2258.37,0,0,0,0
2023,5,Airport,Airport,N,Outbound,205913,9.45,7059.7,1235827,-2.19,1802.12,0,0,0,0
2023,6,Airport,Airport,N,Outbound,190689,-7.39,1766.39,1334066,7.95,1144.24,0,0,0,0
2023,7,Airport,Airport,N,Outbound,260964,36.85,1181.06,1578094,18.29,1129.16,0,0,0,0
2023,8,Airport,Airport,N,Outbound,295172,13.11,980.98,1559714,-1.16,994.67,0,0,0,0
2023,9,Airport,Airport,N,Outbound,243531,-17.5,570.11,1329625,-14.75,676.88,0,0,0,0
2023,10,Airport,Airport,N,Outbound,212134,-12.89,551.42,1431142,7.64,429.19,0,0,0,0
2023,11,Airport,Airport,N,Outbound,184050,-13.24,332.43,1508287,5.39,278.55,0,0,0,0
2023,12,Airport,Airport,N,Outbound,204887,11.32,291.99,1794116,18.95,163.93,0,0,0,0
2024,1,Airport,Airport,N,Outbound,289184,41.14,269.2,1576108,-12.15,103.77,0,0,0,0
2024,2,Airport,Airport,N,Outbound,332826,15.09,171.95,1593041,1.07,117.33,0,0,0,0
2024,3,Airport,Airport,N,Outbound,207589,-37.63,16.39,1783729,11.97,63.89,0,0,0,0
2024,4,Airport,Airport,N,Outbound,269613,29.88,43.3,1606199,-9.95,27.13,0,0,0,0
2024,5,Airport,Airport,N,Outbound,252677,-6.28,22.71,1596992,-0.57,29.22,0,0,0,0
2024,6,Airport,Airport,N,Outbound,229254,-9.27,20.22,1711813,7.19,28.32,0,0,0,0
2024,7,Airport,Airport,N,Outbound,332523,45.05,27.42,1897452,10.84,20.24,0,0,0,0
2024,8,Airport,Airport,N,Outbound,364193,9.52,23.38,1871567,-1.36,19.99,0,0,0,0
2024,9,Airport,Airport,N,Outbound,280427,-23.0,15.15,1574987,-15.85,18.45,0,0,0,0
2024,10,Airport,Airport,N,Outbound,263412,-6.07,24.17,1678342,6.56,17.27,0,0,0,0
2024,11,Airport,Airport,N,Outbound,201409,-23.54,9.43,1729445,3.04,14.66,0,0,0,0
2024,12,Airport,Airport,N,Outbound,227440,12.92,11.01,2038741,17.88,13.63,0,0,0,0
2025,1,Airport,Airport,N,Outbound,385943,69.69,33.46,2025092,-0.67,28.49,0,0,0,0
2025,2,Airport,Airport,N,Outbound,288039,-25.37,-13.46,1541707,-23.87,-3.22,0,0,0,0
