"关卡","年月","行驶方向","车辆种类","车流量"
"MKT","201301","OB","1",0
"MKT","201301","IB","1",0
"MKT","201301","OB","36",70310
"MKT","201301","IB","36",69089
"MKT","201301","IB","23",445
"MKT","201301","OB","23",443
"MKT","201302","IB","36",38026
"MKT","201302","IB","1",0
"MKT","201302","OB","1",0
"MKT","201302","OB","23",311
"MKT","201302","OB","36",39012
"MKT","201302","IB","23",309
"MKT","201303","OB","1",0
"MKT","201303","IB","23",412
"MKT","201303","OB","23",411
"MKT","201303","IB","36",60742
"MKT","201303","OB","36",62900
"MKT","201303","IB","1",0
"MKT","201304","IB","1",0
"MKT","201304","IB","36",62112
"MKT","201304","OB","1",0
"MKT","201304","OB","23",358
"MKT","201304","OB","36",64372
"MKT","201304","IB","23",370
"MKT","201305","IB","1",0
"MKT","201305","IB","36",64058
"MKT","201305","OB","36",65021
"MKT","201305","OB","23",402
"MKT","201305","OB","1",0
"MKT","201305","IB","23",417
"MKT","201306","OB","36",64248
"MKT","201306","IB","36",62477
"MKT","201306","IB","23",394
"MKT","201306","OB","1",0
"MKT","201306","OB","23",313
"MKT","201306","IB","1",0
"MKT","201307","OB","1",0
"MKT","201307","IB","23",273
"MKT","201307","OB","36",67814
"MKT","201307","OB","23",249
"MKT","201307","IB","1",0
"MKT","201307","IB","36",67559
"MKT","201308","IB","36",66422
"MKT","201308","OB","23",708
"MKT","201308","IB","1",878
"MKT","201308","IB","23",723
"MKT","201308","OB","1",903
"MKT","201308","OB","36",67587
"MKT","201309","IB","36",63087
"MKT","201309","IB","23",3742
"MKT","201309","OB","23",3617
"MKT","201309","IB","1",4834
"MKT","201309","OB","1",4668
"MKT","201309","OB","36",64092
"MKT","201310","IB","1",5718
"MKT","201310","OB","1",5524
"MKT","201310","OB","23",3795
"MKT","201310","IB","36",61956
"MKT","201310","IB","23",4111
"MKT","201310","OB","36",61777
"MKT","201311","OB","1",5548
"MKT","201311","IB","1",5733
"MKT","201311","IB","36",66806
"MKT","201311","OB","23",3339
"MKT","201311","OB","36",65966
"MKT","201311","IB","23",3742
"MKT","201312","IB","23",3956
"MKT","201312","IB","1",6377
"MKT","201312","IB","36",67929
"MKT","201312","OB","1",6042
"MKT","201312","OB","36",68149
"MKT","201312","OB","23",3334
"MKT","201401","OB","1",6734
"MKT","201401","IB","36",66470
"MKT","201401","IB","1",7195
"MKT","201401","OB","36",65091
"MKT","201401","OB","23",3472
"MKT","201401","IB","23",4293
"MKT","201402","OB","36",40365
"MKT","201402","IB","36",38081
"MKT","201402","OB","1",5338
"MKT","201402","OB","23",3024
"MKT","201402","IB","1",5431
"MKT","201402","IB","23",3355
"MKT","201403","IB","23",3848
"MKT","201403","OB","1",6477
"MKT","201403","OB","36",62994
"MKT","201403","IB","1",6517
"MKT","201403","IB","36",61860
"MKT","201403","OB","23",3502
"MKT","201404","IB","36",59873
"MKT","201404","OB","1",6781
"MKT","201404","OB","36",60627
"MKT","201404","IB","23",4019
"MKT","201404","OB","23",3731
"MKT","201404","IB","1",6856
"MKT","201405","IB","36",60956
"MKT","201405","IB","1",7055
"MKT","201405","IB","23",3976
"MKT","201405","OB","36",61275
"MKT","201405","OB","1",7019
"MKT","201405","OB","23",3671
"MKT","201406","IB","36",64250
"MKT","201406","IB","23",3762
"MKT","201406","OB","1",6928
"MKT","201406","OB","23",3497
"MKT","201406","OB","36",61145
"MKT","201406","IB","1",6962
"MKT","201407","IB","23",3946
"MKT","201407","IB","36",67863
"MKT","201407","OB","23",3480
"MKT","201407","OB","1",7504
"MKT","201407","OB","36",65338
"MKT","201407","IB","1",7480
"MKT","201408","IB","36",68036
"MKT","201408","OB","23",3722
"MKT","201408","OB","1",8124
"MKT","201408","OB","36",66670
"MKT","201408","IB","23",4433
"MKT","201408","IB","1",8118
"MKT","201409","OB","1",7873
"MKT","201409","OB","36",64403
"MKT","201409","IB","23",4768
"MKT","201409","IB","1",7793
"MKT","201409","IB","36",60021
"MKT","201409","OB","23",4353
"MKT","201410","IB","1",7935
"MKT","201410","IB","23",5229
"MKT","201410","IB","36",56903
"MKT","201410","OB","23",4528
"MKT","201410","OB","1",8072
"MKT","201410","OB","36",61348
"MKT","201411","IB","36",60130
"MKT","201411","IB","1",8034
"MKT","201411","OB","36",62059
"MKT","201411","OB","23",4390
"MKT","201411","IB","23",5208
"MKT","201411","OB","1",8034
"MKT","201412","IB","1",8339
"MKT","201412","OB","1",8385
"MKT","201412","IB","36",64193
"MKT","201412","OB","36",64903
"MKT","201412","IB","23",5630
"MKT","201412","OB","23",4634
"MKT","201501","IB","23",6098
"MKT","201501","OB","23",4977
"MKT","201501","OB","1",8431
"MKT","201501","IB","1",8408
"MKT","201501","OB","36",64018
"MKT","201501","IB","36",63685
"MKT","201502","IB","23",5149
"MKT","201502","OB","36",43687
"MKT","201502","OB","23",4159
"MKT","201502","IB","36",42920
"MKT","201502","OB","1",7094
"MKT","201502","IB","1",7201
"MKT","201503","OB","23",4541
"MKT","201503","OB","36",60019
"MKT","201503","IB","36",54735
"MKT","201503","IB","23",5262
"MKT","201503","IB","1",8071
"MKT","201503","OB","1",8235
"MKT","201504","OB","23",4291
"MKT","201504","OB","1",8444
"MKT","201504","IB","23",5089
"MKT","201504","IB","36",60242
"MKT","201504","IB","1",8328
"MKT","201504","OB","36",63406
"MKT","201505","IB","36",60099
"MKT","201505","OB","36",64313
"MKT","201505","OB","23",4501
"MKT","201505","OB","1",8232
"MKT","201505","IB","23",5355
"MKT","201505","IB","1",8064
"MKT","201506","OB","36",63766
"MKT","201506","IB","23",5257
"MKT","201506","OB","1",8507
"MKT","201506","OB","23",4432
"MKT","201506","IB","36",61205
"MKT","201506","IB","1",8234
"MKT","201507","IB","36",59856
"MKT","201507","OB","36",65347
"MKT","201507","IB","1",8616
"MKT","201507","OB","1",8682
"MKT","201507","IB","23",5010
"MKT","201507","OB","23",4142
"MKT","201508","OB","23",4083
"MKT","201508","IB","23",5053
"MKT","201508","IB","36",60434
"MKT","201508","IB","1",8838
"MKT","201508","OB","1",8812
"MKT","201508","OB","36",66145
"MKT","201509","IB","23",5744
"MKT","201509","OB","36",64726
"MKT","201509","IB","36",62726
"MKT","201509","IB","1",8709
"MKT","201509","OB","1",8748
"MKT","201509","OB","23",4811
"MKT","201510","OB","1",8928
"MKT","201510","IB","1",8968
"MKT","201510","OB","23",4925
"MKT","201510","OB","36",62337
"MKT","201510","IB","36",61979
"MKT","201510","IB","23",5873
"MKT","201511","IB","1",8739
"MKT","201511","OB","36",63814
"MKT","201511","IB","36",62576
"MKT","201511","OB","1",8679
"MKT","201511","IB","23",5717
"MKT","201511","OB","23",4805
"MKT","201512","IB","1",9196
"MKT","201512","OB","1",9163
"MKT","201512","OB","23",4775
"MKT","201512","IB","23",5644
"MKT","201512","OB","36",66938
"MKT","201512","IB","36",64216
"MKT","201601","IB","1",9233
"MKT","201601","IB","23",5809
"MKT","201601","IB","36",63943
"MKT","201601","OB","36",65489
"MKT","201601","OB","1",9203
"MKT","201601","OB","23",5177
"MKT","201602","OB","1",6918
"MKT","201602","IB","23",5017
"MKT","201602","IB","36",34968
"MKT","201602","IB","1",6951
"MKT","201602","OB","23",4465
"MKT","201602","OB","36",36884
"MKT","201603","OB","36",61732
"MKT","201603","IB","1",8650
"MKT","201603","IB","23",5532
"MKT","201603","OB","23",4985
"MKT","201603","IB","36",57407
"MKT","201603","OB","1",8655
"MKT","201604","IB","1",8369
"MKT","201604","IB","23",5544
"MKT","201604","OB","1",8267
"MKT","201604","OB","23",5009
"MKT","201604","OB","36",62775
"MKT","201604","IB","36",57037
"MKT","201605","IB","36",58330
"MKT","201605","IB","23",5770
"MKT","201605","OB","1",8750
"MKT","201605","OB","23",5174
"MKT","201605","IB","1",8711
"MKT","201605","OB","36",62832
"MKT","201606","OB","36",61897
"MKT","201606","OB","1",8388
"MKT","201606","IB","23",5499
"MKT","201606","IB","36",60526
"MKT","201606","OB","23",5061
"MKT","201606","IB","1",8277
"MKT","201607","IB","23",5108
"MKT","201607","IB","36",61306
"MKT","201607","OB","36",61003
"MKT","201607","OB","23",4521
"MKT","201607","IB","1",8484
"MKT","201607","OB","1",8557
"MKT","201608","OB","1",8514
"MKT","201608","IB","1",8455
"MKT","201608","IB","23",4749
"MKT","201608","OB","23",4292
"MKT","201608","IB","36",62887
"MKT","201608","OB","36",63422
"MKT","201609","IB","36",63804
"MKT","201609","OB","23",5327
"MKT","201609","IB","23",5652
"MKT","201609","OB","1",8783
"MKT","201609","IB","1",8782
"MKT","201609","OB","36",64213
"MKT","201610","IB","1",9281
"MKT","201610","IB","23",5535
"MKT","201610","IB","36",61032
"MKT","201610","OB","36",59971
"MKT","201610","OB","23",5216
"MKT","201610","OB","1",9353
"MKT","201611","IB","23",5668
"MKT","201611","OB","36",66903
"MKT","201611","OB","23",5374
"MKT","201611","IB","1",7833
"MKT","201611","IB","36",65961
"MKT","201611","OB","1",7827
"MKT","201612","OB","36",69281
"MKT","201612","IB","23",5768
"MKT","201612","IB","1",7719
"MKT","201612","IB","36",67798
"MKT","201612","OB","23",5359
"MKT","201612","OB","1",7686
"MKT","201701","IB","36",59896
"MKT","201701","OB","23",5542
"MKT","201701","OB","36",60190
"MKT","201701","IB","23",5891
"MKT","201701","OB","1",7567
"MKT","201701","IB","1",7958
"MKT","201702","IB","1",6980
"MKT","201702","IB","23",5321
"MKT","201702","OB","36",48216
"MKT","201702","OB","1",6895
"MKT","201702","OB","23",5005
"MKT","201702","IB","36",46827
"MKT","201703","IB","36",67016
"MKT","201703","OB","1",8409
"MKT","201703","OB","36",67455
"MKT","201703","OB","23",5931
"MKT","201703","IB","23",6082
"MKT","201703","IB","1",8450
"MKT","201704","IB","36",62768
"MKT","201704","OB","36",63894
"MKT","201704","OB","23",5274
