"关卡","年月","行驶方向","车辆种类","车流量"
"STK","201301","IB","36",11767
"STK","201301","OB","1",23257
"STK","201301","IB","23",5471
"STK","201301","OB","36",16049
"STK","201301","OB","23",5482
"STK","201301","IB","1",22733
"STK","201302","OB","1",17898
"STK","201302","IB","23",4640
"STK","201302","OB","23",4605
"STK","201302","IB","36",6109
"STK","201302","OB","36",8463
"STK","201302","IB","1",17870
"STK","201303","IB","1",20888
"STK","201303","OB","1",21010
"STK","201303","OB","23",5109
"STK","201303","IB","36",11484
"STK","201303","IB","23",5204
"STK","201303","OB","36",15165
"STK","201304","IB","1",22815
"STK","201304","OB","1",22932
"STK","201304","IB","23",5129
"STK","201304","OB","23",5045
"STK","201304","IB","36",11305
"STK","201304","OB","36",15309
"STK","201305","OB","36",15985
"STK","201305","IB","36",12050
"STK","201305","OB","23",5025
"STK","201305","IB","23",5088
"STK","201305","IB","1",23557
"STK","201305","OB","1",23952
"STK","201306","OB","23",4849
"STK","201306","IB","1",21846
"STK","201306","OB","1",22068
"STK","201306","IB","23",4987
"STK","201306","OB","36",14519
"STK","201306","IB","36",10736
"STK","201307","IB","36",11984
"STK","201307","IB","23",4913
"STK","201307","OB","23",4804
"STK","201307","OB","1",24630
"STK","201307","OB","36",16897
"STK","201307","IB","1",23980
"STK","201308","OB","23",4737
"STK","201308","OB","1",24227
"STK","201308","IB","1",24121
"STK","201308","IB","36",11976
"STK","201308","OB","36",16419
"STK","201308","IB","23",4799
"STK","201309","IB","36",11536
"STK","201309","OB","1",22877
"STK","201309","OB","23",4479
"STK","201309","OB","36",16278
"STK","201309","IB","23",4547
"STK","201309","IB","1",22368
"STK","201310","OB","36",15301
"STK","201310","IB","36",11287
"STK","201310","OB","1",20247
"STK","201310","OB","23",4678
"STK","201310","IB","1",19597
"STK","201310","IB","23",4766
"STK","201311","IB","1",20786
"STK","201311","IB","36",12004
"STK","201311","IB","23",4467
"STK","201311","OB","36",16140
"STK","201311","OB","23",4376
"STK","201311","OB","1",21066
"STK","201312","OB","1",23185
"STK","201312","IB","36",12137
"STK","201312","OB","36",16195
"STK","201312","IB","1",22876
"STK","201312","OB","23",4580
"STK","201312","IB","23",4632
"STK","201401","OB","1",17890
"STK","201401","IB","1",17871
"STK","201401","OB","23",4717
"STK","201401","IB","36",9768
"STK","201401","IB","23",4774
"STK","201401","OB","36",14128
"STK","201402","IB","36",6818
"STK","201402","IB","1",13433
"STK","201402","IB","23",4193
"STK","201402","OB","36",8720
"STK","201402","OB","23",4098
"STK","201402","OB","1",13674
"STK","201403","OB","1",17002
"STK","201403","IB","1",16720
"STK","201403","IB","23",4624
"STK","201403","IB","36",10217
"STK","201403","OB","23",4556
"STK","201403","OB","36",14214
"STK","201404","IB","36",10209
"STK","201404","OB","1",18138
"STK","201404","IB","1",18015
"STK","201404","OB","36",14158
"STK","201404","OB","23",4537
"STK","201404","IB","23",4598
"STK","201405","OB","23",4540
"STK","201405","OB","36",14229
"STK","201405","OB","1",18136
"STK","201405","IB","36",10313
"STK","201405","IB","23",4597
"STK","201405","IB","1",18014
"STK","201406","OB","36",13758
"STK","201406","IB","23",4408
"STK","201406","IB","36",9732
"STK","201406","OB","1",17451
"STK","201406","OB","23",4321
"STK","201406","IB","1",17183
"STK","201407","IB","23",4349
"STK","201407","OB","23",4320
"STK","201407","OB","36",15424
"STK","201407","IB","36",10478
"STK","201407","OB","1",18108
"STK","201407","IB","1",17695
"STK","201408","IB","1",16814
"STK","201408","IB","36",9999
"STK","201408","OB","36",14910
"STK","201408","IB","23",4422
"STK","201408","OB","23",4408
"STK","201408","OB","1",16805
"STK","201409","IB","23",4457
"STK","201409","IB","36",10483
"STK","201409","IB","1",16406
"STK","201409","OB","23",4404
"STK","201409","OB","1",16658
"STK","201409","OB","36",15348
"STK","201410","IB","23",4628
"STK","201410","OB","1",17128
"STK","201410","OB","23",4618
"STK","201410","IB","1",16903
"STK","201410","OB","36",13496
"STK","201410","IB","36",9242
"STK","201411","IB","23",4442
"STK","201411","IB","1",16875
"STK","201411","OB","1",16863
"STK","201411","IB","36",9490
"STK","201411","OB","23",4373
"STK","201411","OB","36",13482
"STK","201412","OB","1",17941
"STK","201412","IB","1",17725
"STK","201412","IB","23",4628
"STK","201412","IB","36",9701
"STK","201412","OB","23",4575
"STK","201412","OB","36",14066
"STK","201501","IB","36",10548
"STK","201501","OB","23",4563
"STK","201501","IB","23",4618
"STK","201501","OB","36",14790
"STK","201501","OB","1",18854
"STK","201501","IB","1",18657
"STK","201502","OB","23",4299
"STK","201502","IB","36",5848
"STK","201502","IB","1",14391
"STK","201502","IB","23",4278
"STK","201502","OB","1",14396
"STK","201502","OB","36",8836
"STK","201503","OB","23",4544
"STK","201503","IB","36",9449
"STK","201503","OB","1",18156
"STK","201503","OB","36",12476
"STK","201503","IB","1",17752
"STK","201503","IB","23",4594
"STK","201504","IB","23",4520
"STK","201504","OB","36",13006
"STK","201504","IB","1",17193
"STK","201504","OB","1",17321
"STK","201504","IB","36",9346
"STK","201504","OB","23",4498
"STK","201505","OB","1",17799
"STK","201505","IB","1",17764
"STK","201505","OB","23",4418
"STK","201505","OB","36",12711
"STK","201505","IB","36",9481
"STK","201505","IB","23",4456
"STK","201506","IB","23",4306
"STK","201506","IB","1",18234
"STK","201506","OB","1",18664
"STK","201506","OB","23",4274
"STK","201506","OB","36",12995
"STK","201506","IB","36",9357
"STK","201507","IB","36",10268
"STK","201507","OB","36",14439
"STK","201507","OB","23",4187
"STK","201507","OB","1",19564
"STK","201507","IB","1",19344
"STK","201507","IB","23",4236
"STK","201508","IB","36",9696
"STK","201508","IB","1",19461
"STK","201508","OB","1",19660
"STK","201508","OB","36",13657
"STK","201508","OB","23",4282
"STK","201508","IB","23",4309
"STK","201509","IB","1",19878
"STK","201509","IB","23",4386
"STK","201509","IB","36",9553
"STK","201509","OB","1",19927
"STK","201509","OB","23",4367
"STK","201509","OB","36",13429
"STK","201510","IB","36",8701
"STK","201510","OB","36",11950
"STK","201510","IB","1",21502
"STK","201510","IB","23",4562
"STK","201510","OB","1",21568
"STK","201510","OB","23",4541
"STK","201511","IB","1",21495
"STK","201511","OB","36",13216
"STK","201511","IB","23",4278
"STK","201511","OB","1",21711
"STK","201511","IB","36",9718
"STK","201511","OB","23",4281
"STK","201512","IB","1",18332
"STK","201512","OB","23",4403
"STK","201512","IB","36",9813
"STK","201512","OB","36",13233
"STK","201512","OB","1",18392
"STK","201512","IB","23",4418
"STK","201601","OB","1",20910
"STK","201601","IB","23",4462
"STK","201601","OB","36",13724
"STK","201601","IB","1",20864
"STK","201601","IB","36",9837
"STK","201601","OB","23",4423
"STK","201602","IB","36",5129
"STK","201602","OB","23",4157
"STK","201602","IB","23",4132
"STK","201602","OB","36",6639
"STK","201602","OB","1",17627
"STK","201602","IB","1",17369
"STK","201603","IB","23",4565
"STK","201603","IB","1",17940
"STK","201603","OB","23",4570
"STK","201603","OB","36",12756
"STK","201603","IB","36",9361
"STK","201603","OB","1",18163
"STK","201604","IB","36",9928
"STK","201604","IB","1",18068
"STK","201604","OB","36",13375
"STK","201604","OB","23",4476
"STK","201604","OB","1",18138
"STK","201604","IB","23",4490
"STK","201605","IB","23",4468
"STK","201605","OB","1",17602
"STK","201605","OB","36",13865
"STK","201605","IB","1",17325
"STK","201605","IB","36",10391
"STK","201605","OB","23",4442
"STK","201606","IB","23",4326
"STK","201606","OB","36",15283
"STK","201606","IB","1",15976
"STK","201606","OB","1",16095
"STK","201606","IB","36",11181
"STK","201606","OB","23",4313
"STK","201607","IB","1",16226
"STK","201607","OB","23",4221
"STK","201607","OB","36",16554
"STK","201607","OB","1",16274
"STK","201607","IB","36",11356
"STK","201607","IB","23",4242
"STK","201608","IB","36",11374
"STK","201608","IB","1",16165
"STK","201608","OB","1",16511
"STK","201608","OB","36",17455
"STK","201608","IB","23",4172
"STK","201608","OB","23",4158
"STK","201609","IB","1",16456
"STK","201609","OB","23",4483
"STK","201609","IB","23",4521
"STK","201609","OB","36",17311
"STK","201609","OB","1",16450
"STK","201609","IB","36",10865
"STK","201610","IB","1",15977
"STK","201610","OB","36",15431
"STK","201610","OB","23",4524
"STK","201610","IB","23",4530
"STK","201610","OB","1",16163
"STK","201610","IB","36",9509
"STK","201611","OB","36",18285
"STK","201611","IB","23",4479
"STK","201611","OB","1",16375
"STK","201611","IB","1",16208
"STK","201611","OB","23",4473
"STK","201611","IB","36",11529
"STK","201612","IB","36",10713
