"关卡","年月","行驶方向","车辆种类","车流量"
"HKZMB","201810","OB","36",202
"HKZMB","201810","IB","36",88
"HKZMB","201810","IB","1",2581
"HKZMB","201810","OB","1",3173
"HKZMB","201810","IB","23",1167
"HKZMB","201810","OB","23",1171
"HKZMB","201810","IB","25",4656
"HKZMB","201810","OB","25",4632
"HKZMB","201811","OB","36",1970
"HKZMB","201811","OB","1",16793
"HKZMB","201811","IB","23",12285
"HKZMB","201811","OB","23",12303
"HKZMB","201811","IB","25",21970
"HKZMB","201811","OB","25",21901
"HKZMB","201811","IB","36",1401
"HKZMB","201811","IB","1",15804
"HKZMB","201812","IB","36",2493
"HKZMB","201812","OB","36",2809
"HKZMB","201812","OB","25",22728
"HKZMB","201812","IB","25",22757
"HKZMB","201812","OB","23",11574
"HKZMB","201812","IB","23",11568
"HKZMB","201812","OB","1",22810
"HKZMB","201812","IB","1",22263
"HKZMB","201901","IB","36",3240
"HKZMB","201901","OB","25",18484
"HKZMB","201901","IB","25",18497
"HKZMB","201901","OB","23",8389
"HKZMB","201901","IB","23",8414
"HKZMB","201901","OB","1",22691
"HKZMB","201901","IB","1",22172
"HKZMB","201901","OB","36",3780
"HKZMB","201902","IB","1",27307
"HKZMB","201902","OB","1",27810
"HKZMB","201902","IB","23",8730
"HKZMB","201902","OB","23",8705
"HKZMB","201902","IB","25",19378
"HKZMB","201902","OB","25",19385
"HKZMB","201902","OB","36",1774
"HKZMB","201902","IB","36",1655
"HKZMB","201903","IB","1",30265
"HKZMB","201903","OB","1",30689
"HKZMB","201903","IB","23",8125
"HKZMB","201903","OB","23",8075
"HKZMB","201903","IB","25",21651
"HKZMB","201903","OB","25",21621
"HKZMB","201903","IB","36",3844
"HKZMB","201903","OB","36",4563
"HKZMB","201904","IB","36",3702
"HKZMB","201904","OB","25",24005
"HKZMB","201904","IB","25",24021
"HKZMB","201904","OB","23",8742
"HKZMB","201904","IB","23",8773
"HKZMB","201904","OB","1",34984
"HKZMB","201904","IB","1",33937
"HKZMB","201904","OB","36",4129
"HKZMB","201905","IB","1",39115
"HKZMB","201905","OB","1",40102
"HKZMB","201905","IB","23",7809
"HKZMB","201905","OB","23",7753
"HKZMB","201905","IB","25",23204
"HKZMB","201905","OB","25",23151
"HKZMB","201905","IB","36",3579
"HKZMB","201905","OB","36",3833
"HKZMB","201906","OB","36",3677
"HKZMB","201906","IB","36",3685
"HKZMB","201906","OB","25",20701
"HKZMB","201906","IB","25",20722
"HKZMB","201906","OB","23",7261
"HKZMB","201906","IB","23",7319
"HKZMB","201906","OB","1",37102
"HKZMB","201906","IB","1",35346
"HKZMB","201907","IB","36",4138
"HKZMB","201907","OB","25",21593
"HKZMB","201907","IB","25",21620
"HKZMB","201907","OB","23",7170
"HKZMB","201907","IB","23",7256
"HKZMB","201907","OB","1",37685
"HKZMB","201907","IB","1",37535
"HKZMB","201907","OB","36",4133
"HKZMB","201908","IB","1",36031
"HKZMB","201908","OB","1",36670
"HKZMB","201908","IB","23",7341
"HKZMB","201908","OB","36",4099
"HKZMB","201908","IB","25",18423
"HKZMB","201908","OB","25",18421
"HKZMB","201908","IB","36",3982
"HKZMB","201908","OB","23",7268
"HKZMB","201909","IB","36",3881
"HKZMB","201909","OB","25",13077
"HKZMB","201909","IB","25",13072
"HKZMB","201909","OB","23",5978
"HKZMB","201909","IB","23",6036
"HKZMB","201909","OB","1",33132
"HKZMB","201909","IB","1",32706
"HKZMB","201909","OB","36",4037
"HKZMB","201910","IB","23",5449
"HKZMB","201910","OB","1",39426
"HKZMB","201910","IB","1",38864
"HKZMB","201910","OB","23",5406
"HKZMB","201910","IB","25",13215
"HKZMB","201910","OB","25",13211
"HKZMB","201910","IB","36",3745
"HKZMB","201910","OB","36",3995
"HKZMB","201911","IB","23",4760
"HKZMB","201911","OB","1",36110
"HKZMB","201911","IB","1",35337
"HKZMB","201911","OB","23",4745
"HKZMB","201911","OB","36",3976
"HKZMB","201911","IB","36",3672
"HKZMB","201911","OB","25",11533
"HKZMB","201911","IB","25",11548
"HKZMB","201912","IB","1",38618
"HKZMB","201912","OB","1",38912
"HKZMB","201912","IB","23",6199
"HKZMB","201912","IB","36",3928
"HKZMB","201912","OB","25",13301
"HKZMB","201912","IB","25",13486
"HKZMB","201912","OB","23",6366
"HKZMB","201912","OB","36",4132
"HKZMB","202001","OB","36",3590
"HKZMB","202001","IB","1",36276
"HKZMB","202001","OB","1",36165
"HKZMB","202001","IB","23",6218
"HKZMB","202001","OB","23",6178
"HKZMB","202001","IB","25",10917
"HKZMB","202001","OB","25",10933
"HKZMB","202001","IB","36",3307
"HKZMB","202002","OB","36",2708
"HKZMB","202002","IB","1",12473
"HKZMB","202002","OB","1",12679
"HKZMB","202002","IB","23",1634
"HKZMB","202002","OB","23",1626
"HKZMB","202002","IB","36",2570
"HKZMB","202002","OB","25",3545
"HKZMB","202002","IB","25",3553
"HKZMB","202003","IB","23",1293
"HKZMB","202003","OB","1",13288
"HKZMB","202003","IB","1",12835
"HKZMB","202003","OB","23",1289
"HKZMB","202003","OB","36",4242
"HKZMB","202003","IB","36",4376
"HKZMB","202003","OB","25",4752
"HKZMB","202003","IB","25",4770
"HKZMB","202004","IB","1",232
"HKZMB","202004","OB","1",81
"HKZMB","202004","IB","23",49
"HKZMB","202004","OB","23",41
"HKZMB","202004","IB","25",341
"HKZMB","202004","OB","25",337
"HKZMB","202004","IB","36",3937
"HKZMB","202004","OB","36",3560
"HKZMB","202005","OB","36",3903
"HKZMB","202005","IB","36",3870
"HKZMB","202005","OB","25",342
"HKZMB","202005","IB","25",358
"HKZMB","202005","OB","23",47
"HKZMB","202005","IB","23",47
"HKZMB","202005","OB","1",59
"HKZMB","202005","IB","1",230
"HKZMB","202006","OB","23",11
"HKZMB","202006","IB","23",12
"HKZMB","202006","OB","1",88
"HKZMB","202006","IB","1",232
"HKZMB","202006","IB","36",4613
"HKZMB","202006","OB","36",4617
"HKZMB","202006","OB","25",396
"HKZMB","202006","IB","25",383
"HKZMB","202007","OB","23",2
"HKZMB","202007","IB","23",2
"HKZMB","202007","OB","1",227
"HKZMB","202007","IB","1",298
"HKZMB","202007","IB","25",468
"HKZMB","202007","OB","25",479
"HKZMB","202007","IB","36",4664
"HKZMB","202007","OB","36",4672
"HKZMB","202008","IB","1",102
"HKZMB","202008","OB","1",65
"HKZMB","202008","IB","23",0
"HKZMB","202008","OB","23",0
"HKZMB","202008","IB","25",404
"HKZMB","202008","OB","25",402
"HKZMB","202008","IB","36",5061
"HKZMB","202008","OB","36",4842
"HKZMB","202009","IB","36",5603
"HKZMB","202009","OB","25",430
"HKZMB","202009","IB","25",437
"HKZMB","202009","OB","23",0
"HKZMB","202009","IB","23",0
"HKZMB","202009","OB","1",28
"HKZMB","202009","IB","1",98
"HKZMB","202009","OB","36",5585
"HKZMB","202010","OB","36",5676
"HKZMB","202010","IB","1",82
"HKZMB","202010","OB","1",55
"HKZMB","202010","IB","23",2
"HKZMB","202010","OB","23",2
"HKZMB","202010","IB","25",386
"HKZMB","202010","IB","36",5786
"HKZMB","202010","OB","25",374
"HKZMB","202011","OB","36",5937
"HKZMB","202011","IB","36",5837
"HKZMB","202011","OB","25",457
"HKZMB","202011","IB","25",444
"HKZMB","202011","OB","23",0
"HKZMB","202011","IB","23",0
"HKZMB","202011","IB","1",92
"HKZMB","202011","OB","1",47
"HKZMB","202012","IB","1",90
"HKZMB","202012","OB","1",42
"HKZMB","202012","IB","23",3
"HKZMB","202012","OB","23",3
"HKZMB","202012","IB","25",574
"HKZMB","202012","OB","25",579
"HKZMB","202012","IB","36",5942
"HKZMB","202012","OB","36",6096
"HKZMB","202101","IB","1",80
"HKZMB","202101","OB","1",28
"HKZMB","202101","OB","36",6163
"HKZMB","202101","IB","36",5540
"HKZMB","202101","OB","25",577
"HKZMB","202101","IB","25",586
"HKZMB","202101","OB","23",1
"HKZMB","202101","IB","23",0
"HKZMB","202102","IB","1",64
"HKZMB","202102","IB","36",4015
"HKZMB","202102","OB","25",566
"HKZMB","202102","IB","25",566
"HKZMB","202102","OB","23",1
"HKZMB","202102","IB","23",1
"HKZMB","202102","OB","1",11
"HKZMB","202102","OB","36",4060
"HKZMB","202103","IB","1",43
"HKZMB","202103","OB","1",5
"HKZMB","202103","IB","23",0
"HKZMB","202103","OB","23",0
"HKZMB","202103","IB","25",616
"HKZMB","202103","OB","25",615
"HKZMB","202103","IB","36",5551
"HKZMB","202103","OB","36",6005
"HKZMB","202104","IB","23",0
"HKZMB","202104","OB","1",9
"HKZMB","202104","IB","1",43
"HKZMB","202104","OB","23",0
"HKZMB","202104","IB","25",434
"HKZMB","202104","OB","25",447
"HKZMB","202104","IB","36",5306
"HKZMB","202104","OB","36",5737
"HKZMB","202105","IB","23",4
"HKZMB","202105","OB","1",15
"HKZMB","202105","IB","1",55
"HKZMB","202105","OB","23",3
"HKZMB","202105","OB","36",5431
"HKZMB","202105","IB","36",5178
"HKZMB","202105","OB","25",462
"HKZMB","202105","IB","25",471
"HKZMB","202106","OB","36",6301
"HKZMB","202106","IB","36",5828
"HKZMB","202106","OB","25",448
"HKZMB","202106","OB","1",17
"HKZMB","202106","IB","23",4
"HKZMB","202106","OB","23",2
"HKZMB","202106","IB","25",474
"HKZMB","202106","IB","1",59
"HKZMB","202107","IB","36",6087
"HKZMB","202107","OB","36",6331
"HKZMB","202107","OB","25",497
"HKZMB","202107","IB","25",494
"HKZMB","202107","OB","23",3
"HKZMB","202107","IB","23",3
"HKZMB","202107","OB","1",29
"HKZMB","202107","IB","1",74
"HKZMB","202108","IB","25",428
"HKZMB","202108","OB","23",0
"HKZMB","202108","IB","23",0
"HKZMB","202108","OB","1",14
"HKZMB","202108","IB","1",50
"HKZMB","202108","OB","36",6436
"HKZMB","202108","IB","36",6182
"HKZMB","202108","OB","25",426
"HKZMB","202109","OB","36",6383
"HKZMB","202109","IB","36",6084
"HKZMB","202109","OB","25",522
"HKZMB","202109","IB","25",498
"HKZMB","202109","OB","23",0
"HKZMB","202109","IB","23",0
"HKZMB","202109","IB","1",73
"HKZMB","202109","OB","1",26
"HKZMB","202110","IB","25",524
"HKZMB","202110","OB","25",515
"HKZMB","202110","IB","36",5699
"HKZMB","202110","OB","23",6
"HKZMB","202110","IB","23",6
"HKZMB","202110","OB","1",22
"HKZMB","202110","IB","1",52
"HKZMB","202110","OB","36",5859
"HKZMB","202111","IB","23",0
"HKZMB","202111","OB","1",24
"HKZMB","202111","IB","1",64
"HKZMB","202111","OB","23",0
"HKZMB","202111","OB","36",6576
"HKZMB","202111","IB","36",6467
"HKZMB","202111","OB","25",560
"HKZMB","202111","IB","25",557
"HKZMB","202112","IB","36",7035
"HKZMB","202112","OB","25",576
"HKZMB","202112","IB","25",577
"HKZMB","202112","IB","1",67
"HKZMB","202112","OB","1",19
"HKZMB","202112","IB","23",2
"HKZMB","202112","OB","23",2
"HKZMB","202112","OB","36",7061
"HKZMB","202201","IB","36",6828
"HKZMB","202201","OB","25",429
"HKZMB","202201","IB","25",438
"HKZMB","202201","OB","23",0
"HKZMB","202201","IB","23",0
"HKZMB","202201","OB","1",26
"HKZMB","202201","IB","1",50
"HKZMB","202201","OB","36",6943
"HKZMB","202202","IB","36",4172
"HKZMB","202202","OB","25",551
"HKZMB","202202","IB","25",536
"HKZMB","202202","OB","23",0
"HKZMB","202202","IB","23",0
"HKZMB","202202","OB","36",3962
"HKZMB","202202","IB","1",26
"HKZMB","202202","OB","1",28
"HKZMB","202203","IB","36",4126
"HKZMB","202203","OB","25",336
"HKZMB","202203","IB","25",335
"HKZMB","202203","OB","23",0
"HKZMB","202203","IB","23",0
"HKZMB","202203","OB","1",4
"HKZMB","202203","IB","1",11
"HKZMB","202203","OB","36",4334
"HKZMB","202204","OB","36",4759
"HKZMB","202204","IB","36",4758
"HKZMB","202204","OB","25",282
"HKZMB","202204","IB","25",282
"HKZMB","202204","OB","23",0
"HKZMB","202204","IB","23",0
"HKZMB","202204","IB","1",37
"HKZMB","202204","OB","1",6
"HKZMB","202205","IB","1",61
"HKZMB","202205","OB","1",7
