"关卡","年月","行驶方向","车辆种类","车流量"
"HYW","202008","IB","36",28
"HYW","202008","OB","23",0
"HYW","202008","IB","23",0
"HYW","202008","OB","1",0
"HYW","202008","IB","1",0
"HYW","202008","OB","36",137
"HYW","202009","OB","36",6348
"HYW","202009","IB","1",0
"HYW","202009","OB","1",0
"HYW","202009","IB","23",0
"HYW","202009","IB","36",1095
"HYW","202009","OB","23",0
"HYW","202010","IB","1",0
"HYW","202010","OB","1",0
"HYW","202010","IB","23",0
"HYW","202010","OB","23",0
"HYW","202010","IB","36",1699
"HYW","202010","OB","36",8982
"HYW","202011","OB","36",12677
"HYW","202011","IB","36",2904
"HYW","202011","OB","23",0
"HYW","202011","IB","23",0
"HYW","202011","IB","1",0
"HYW","202011","OB","1",0
"HYW","202012","IB","1",0
"HYW","202012","OB","1",0
"HYW","202012","IB","23",0
"HYW","202012","OB","23",0
"HYW","202012","IB","36",5086
"HYW","202012","OB","36",16314
"HYW","202101","IB","1",0
"HYW","202101","IB","23",0
"HYW","202101","OB","23",0
"HYW","202101","IB","36",6086
"HYW","202101","OB","36",16383
"HYW","202101","OB","1",0
"HYW","202102","OB","23",0
"HYW","202102","IB","36",7114
"HYW","202102","OB","36",12327
"HYW","202102","OB","1",0
"HYW","202102","IB","1",0
"HYW","202102","IB","23",0
"HYW","202103","OB","23",0
"HYW","202103","IB","23",0
"HYW","202103","OB","1",0
"HYW","202103","IB","1",0
"HYW","202103","OB","36",27741
"HYW","202103","IB","36",21777
"HYW","202104","IB","36",20457
"HYW","202104","OB","36",24510
"HYW","202104","OB","23",0
"HYW","202104","IB","23",0
"HYW","202104","OB","1",0
"HYW","202104","IB","1",0
"HYW","202105","IB","36",19387
"HYW","202105","OB","23",0
"HYW","202105","IB","23",0
"HYW","202105","OB","1",0
"HYW","202105","IB","1",0
"HYW","202105","OB","36",22104
"HYW","202106","IB","36",20339
"HYW","202106","OB","36",23293
"HYW","202106","OB","23",0
"HYW","202106","IB","23",0
"HYW","202106","OB","1",0
"HYW","202106","IB","1",0
"HYW","202107","IB","1",0
"HYW","202107","OB","1",0
"HYW","202107","IB","23",0
"HYW","202107","OB","23",0
"HYW","202107","IB","36",22584
"HYW","202107","OB","36",25090
"HYW","202108","IB","1",0
"HYW","202108","OB","1",0
"HYW","202108","IB","23",0
"HYW","202108","OB","23",0
"HYW","202108","IB","36",23509
"HYW","202108","OB","36",26339
"HYW","202109","IB","36",23365
"HYW","202109","OB","36",25923
"HYW","202109","IB","1",0
"HYW","202109","OB","1",0
"HYW","202109","IB","23",0
"HYW","202109","OB","23",0
"HYW","202110","OB","23",0
"HYW","202110","IB","36",20496
"HYW","202110","IB","23",0
"HYW","202110","OB","1",0
"HYW","202110","IB","1",0
"HYW","202110","OB","36",21944
"HYW","202111","OB","1",0
"HYW","202111","IB","1",0
"HYW","202111","IB","23",0
"HYW","202111","OB","36",25322
"HYW","202111","IB","36",23375
"HYW","202111","OB","23",0
"HYW","202112","IB","36",24077
"HYW","202112","OB","23",0
