表一 ,一九九五年及二零零五年按性別/年齡/教育程度劃分的在內地工作的香港居民數目,,,,,,,,,,
Table 1,"Hong Kong residents working in the Mainland by sex, age and educational attainment, 1995 and 2005",,,,,,,,,,


,一九九五年九月至十月,,,,,,二零零五年一月至三月,,,,
,Sep – Oct 1995,,,,,,Jan – Mar 2005,,,,

性別/年齡組別/,,,,,香港整體,,在內地工作的香港居民,,,,香港整體
教育程度,在內地工作的香港居民,,,,就業人口,,Hong Kong residents working  in the Mainland,,,,就業人口
Sex/Age group/,Hong Kong residents working  in the Mainland,,,,Total employed,,,,,,Total employed
Educational attainment,,,,,population of ,,,,,,population of 
,,,,,Hong Kong,,,,,,Hong Kong

,人數,,,,百分比,,人數,,,,百分比
,No. of persons,百分比,比率#,,%,,No. of persons,百分比,比率#,,%
,('000),%,Rate#,,,,('000),%,Rate#,,

性別,,,,,,,,,,,
Sex,,,,,,,,,,,

男,84.6,86.9,4.8,,60.7,,173.4,75.8,9.5,,54.5
Male,,,,,,,,,,,

女,12.8,13.1,1.1,,39.3,,55.5,24.2,3.6,,45.5
Female,,,,,,,,,,,


年齡組別,,,,,,,,,,,
Age group,,,,,,,,,,,

15 – 29,16.1,16.6,1.9,,29.1,,30.5,13.3,4,,22.7

30 – 39,36.4,37.4,3.7,,33.5,,66.4,29,6.9,,28.5

40 – 49,30.4,31.3,4.6,,22.8,,84.3,36.8,8.4,,30.1

>= 50,14.3,14.7,3.4,,14.6,,47.7,20.8,7.6,,18.7


教育程度,,,,,,,,,,,
Educational attainment,,,,,,,,,,,

未受教育/幼稚園/,14.6,15,2.1,,23.5,,18.1,7.9,3.9,,14
小學,,,,,,,,,,,
No schooling/ kindergarten/,,,,,,,,,,,
primary,,,,,,,,,,,

中學/預科@,57.8,59.4,3.4,,58.1,,115.4,50.4,6,,57.1
Secondary/,,,,,,,,,,,
matriculation@,,,,,,,,,,,

專上教育,,,,,,,,,,,
Tertiary,,,,,,,,,,,

–非學位,8.6,8.8,3.8,,7.7,,28.9,12.6,9.2,,9.3
Non-degree,,,,,,,,,,,

–學位,16.4,16.8,5.2,,10.8,,66.5,29.1,10.2,,19.6
Degree,,,,,,,,,,,


合計,97.3,100,3.4,,100,,228.9,100,6.8,,100
Overall,,,,,,,,,,,
  ,,,,,,,,,,,
註釋 : # 在個別性別／年齡／教育程度組別內佔在統計時整體就業人口的百分比。以一九九五年九月至十月的所有男性就業人士為例，4.8%的現職需要其在內地工作。,,"Notes : # As a percentage of the total employed population in the respective sex/age/educational attainment groups at the time of enumeration.  For example, among all male employed persons in September-October 1995, 4.8% were required to work in the Mainland in their present job."

@ 具中學教育程度的人士包括具中一至中五教育程度的人士，而具預科教育程度的人士則包括具中六及中七教育程度的人士。,,@ Persons with secondary educational attainment include those with Secondary 1 to Secondary 5 educational attainment while persons with matriculation educational attainment include those with Secondary 6 to Secondary 7 educational attainment.
