年月,管制站,入境 / 出境,香港居民,内地访客,其他访客,总计
2021-01,中国客运码头,入境,0,0,0,0
2021-01,中国客运码头,出境,0,0,0,0
2021-01,启德邮轮码头,入境,0,0,0,0
2021-01,启德邮轮码头,出境,0,0,0,0
2021-01,屯门客运码头,入境,0,0,0,0
2021-01,屯门客运码头,出境,0,0,0,0
2021-01,文锦渡,入境,0,0,0,0
2021-01,文锦渡,出境,0,0,0,0
2021-01,机场,入境,16292,114,518,16924
2021-01,机场,出境,27182,484,1214,28880
2021-01,沙头角,入境,0,0,0,0
2021-01,沙头角,出境,0,0,0,0
2021-01,深圳湾,入境,29270,2405,62,31737
2021-01,深圳湾,出境,43250,3674,82,47006
2021-01,港口管制,入境,0,0,0,0
2021-01,港口管制,出境,0,0,0,0
2021-01,港澳客轮码头,入境,0,0,0,0
2021-01,港澳客轮码头,出境,0,0,0,0
2021-01,港珠澳大桥,入境,3109,103,122,3334
2021-01,港珠澳大桥,出境,5800,252,56,6108
2021-01,红磡,入境,0,0,0,0
2021-01,红磡,出境,0,0,0,0
2021-01,罗湖,入境,0,0,0,0
2021-01,罗湖,出境,0,0,0,0
2021-01,落马洲,入境,0,0,0,0
2021-01,落马洲,出境,0,0,0,0
2021-01,落马洲支线,入境,0,0,0,0
2021-01,落马洲支线,出境,0,0,0,0
2021-01,香园围,入境,0,0,0,0
2021-01,香园围,出境,0,0,0,0
2021-01,高铁西九龙,入境,0,0,0,0
2021-01,高铁西九龙,出境,0,0,0,0
2021-02,中国客运码头,入境,0,0,0,0
2021-02,中国客运码头,出境,0,0,0,0
2021-02,启德邮轮码头,入境,0,0,0,0
2021-02,启德邮轮码头,出境,0,0,0,0
2021-02,屯门客运码头,入境,0,0,0,0
2021-02,屯门客运码头,出境,0,0,0,0
2021-02,文锦渡,入境,0,0,0,0
2021-02,文锦渡,出境,0,0,0,0
2021-02,机场,入境,12804,93,423,13320
2021-02,机场,出境,16952,234,975,18161
2021-02,沙头角,入境,0,0,0,0
2021-02,沙头角,出境,0,0,0,0
2021-02,深圳湾,入境,48855,3343,51,52249
2021-02,深圳湾,出境,15789,1478,42,17309
2021-02,港口管制,入境,0,0,0,0
2021-02,港口管制,出境,0,0,0,0
2021-02,港澳客轮码头,入境,0,0,0,0
2021-02,港澳客轮码头,出境,0,0,0,0
2021-02,港珠澳大桥,入境,4987,157,196,5340
