"年月","指数类别","组别类别","基数年","指数","权数"
"201301","CPIA","1","Index : October 2014 - September 2015 = 100",95.4,0.22
"201301","CPIA","2","Index : October 2014 - September 2015 = 100",111.1,0.15
"201301","CPIA","3","Index : October 2014 - September 2015 = 100",90,0.56
"201301","CPIA","4","Index : October 2014 - September 2015 = 100",95.1,1.83
"201301","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201301","CPIA","6","Index : October 2014 - September 2015 = 100",95.3,0.61
"201301","CPIA","7","Index : October 2014 - September 2015 = 100",93.1,0.27
"201301","CPIA","8","Index : October 2014 - September 2015 = 100",93.7,2.03
"201301","CPIA","9","Index : October 2014 - September 2015 = 100",95.5,0.05
"201301","CPIA","10","Index : October 2014 - September 2015 = 100",85.4,0.13
"201301","CPIA","11","Index : October 2014 - September 2015 = 100",98.5,0.89
"201301","CPIA","12","Index : October 2014 - September 2015 = 100",94.8,6.75
"201301","CPIA","99","Index : October 2014 - September 2015 = 100",90.8,100
"201302","CPIA","6","Index : October 2014 - September 2015 = 100",95.5,0.61
"201302","CPIA","7","Index : October 2014 - September 2015 = 100",93.1,0.27
"201302","CPIA","8","Index : October 2014 - September 2015 = 100",94.3,2.03
"201302","CPIA","9","Index : October 2014 - September 2015 = 100",95.6,0.05
"201302","CPIA","10","Index : October 2014 - September 2015 = 100",85.5,0.13
"201302","CPIA","11","Index : October 2014 - September 2015 = 100",100.1,0.89
"201302","CPIA","12","Index : October 2014 - September 2015 = 100",95.1,6.75
"201302","CPIA","99","Index : October 2014 - September 2015 = 100",91.6,100
"201302","CPIA","1","Index : October 2014 - September 2015 = 100",95.6,0.22
"201302","CPIA","2","Index : October 2014 - September 2015 = 100",114.3,0.15
"201302","CPIA","3","Index : October 2014 - September 2015 = 100",90.2,0.56
"201302","CPIA","4","Index : October 2014 - September 2015 = 100",94.4,1.83
"201302","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201303","CPIA","1","Index : October 2014 - September 2015 = 100",96,0.22
"201303","CPIA","2","Index : October 2014 - September 2015 = 100",112.5,0.15
"201303","CPIA","3","Index : October 2014 - September 2015 = 100",90.2,0.56
"201303","CPIA","4","Index : October 2014 - September 2015 = 100",96,1.83
"201303","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201303","CPIA","6","Index : October 2014 - September 2015 = 100",95.7,0.61
"201303","CPIA","7","Index : October 2014 - September 2015 = 100",93.1,0.27
"201303","CPIA","8","Index : October 2014 - September 2015 = 100",94.3,2.03
"201303","CPIA","9","Index : October 2014 - September 2015 = 100",93.4,0.05
"201303","CPIA","10","Index : October 2014 - September 2015 = 100",86.6,0.13
"201303","CPIA","11","Index : October 2014 - September 2015 = 100",99.2,0.89
"201303","CPIA","12","Index : October 2014 - September 2015 = 100",95.4,6.75
"201303","CPIA","99","Index : October 2014 - September 2015 = 100",91.5,100
"201304","CPIA","1","Index : October 2014 - September 2015 = 100",97.2,0.22
"201304","CPIA","2","Index : October 2014 - September 2015 = 100",110.2,0.15
"201304","CPIA","3","Index : October 2014 - September 2015 = 100",91,0.56
"201304","CPIA","4","Index : October 2014 - September 2015 = 100",97.9,1.83
"201304","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201304","CPIA","6","Index : October 2014 - September 2015 = 100",95.8,0.61
"201304","CPIA","7","Index : October 2014 - September 2015 = 100",93.1,0.27
"201304","CPIA","8","Index : October 2014 - September 2015 = 100",94.3,2.03
"201304","CPIA","9","Index : October 2014 - September 2015 = 100",92.9,0.05
"201304","CPIA","10","Index : October 2014 - September 2015 = 100",86.6,0.13
"201304","CPIA","11","Index : October 2014 - September 2015 = 100",100,0.89
"201304","CPIA","12","Index : October 2014 - September 2015 = 100",96.2,6.75
"201304","CPIA","99","Index : October 2014 - September 2015 = 100",92.3,100
"201305","CPIA","1","Index : October 2014 - September 2015 = 100",97.2,0.22
"201305","CPIA","2","Index : October 2014 - September 2015 = 100",109.5,0.15
"201305","CPIA","3","Index : October 2014 - September 2015 = 100",91.1,0.56
"201305","CPIA","4","Index : October 2014 - September 2015 = 100",97.9,1.83
"201305","CPIA","5","Index : October 2014 - September 2015 = 100",97.1,0.01
"201305","CPIA","6","Index : October 2014 - September 2015 = 100",96,0.61
"201305","CPIA","7","Index : October 2014 - September 2015 = 100",93.1,0.27
"201305","CPIA","8","Index : October 2014 - September 2015 = 100",94.3,2.03
"201305","CPIA","9","Index : October 2014 - September 2015 = 100",94.3,0.05
"201305","CPIA","10","Index : October 2014 - September 2015 = 100",86.6,0.13
"201305","CPIA","11","Index : October 2014 - September 2015 = 100",100.4,0.89
"201305","CPIA","12","Index : October 2014 - September 2015 = 100",96.2,6.75
"201305","CPIA","99","Index : October 2014 - September 2015 = 100",92.3,100
"201306","CPIA","1","Index : October 2014 - September 2015 = 100",97.5,0.22
"201306","CPIA","2","Index : October 2014 - September 2015 = 100",110.1,0.15
"201306","CPIA","3","Index : October 2014 - September 2015 = 100",91.2,0.56
"201306","CPIA","4","Index : October 2014 - September 2015 = 100",97.9,1.83
"201306","CPIA","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201306","CPIA","6","Index : October 2014 - September 2015 = 100",96.2,0.61
"201306","CPIA","7","Index : October 2014 - September 2015 = 100",93.1,0.27
"201306","CPIA","8","Index : October 2014 - September 2015 = 100",94.4,2.03
"201306","CPIA","9","Index : October 2014 - September 2015 = 100",95.4,0.05
"201306","CPIA","10","Index : October 2014 - September 2015 = 100",86.6,0.13
"201306","CPIA","11","Index : October 2014 - September 2015 = 100",100.1,0.89
"201306","CPIA","12","Index : October 2014 - September 2015 = 100",96.3,6.75
"201306","CPIA","99","Index : October 2014 - September 2015 = 100",92.4,100
"201307","CPIA","1","Index : October 2014 - September 2015 = 100",97.8,0.22
"201307","CPIA","2","Index : October 2014 - September 2015 = 100",111.3,0.15
"201307","CPIA","3","Index : October 2014 - September 2015 = 100",91.6,0.56
"201307","CPIA","7","Index : October 2014 - September 2015 = 100",93.1,0.27
"201307","CPIA","6","Index : October 2014 - September 2015 = 100",96.7,0.61
"201307","CPIA","4","Index : October 2014 - September 2015 = 100",97.9,1.83
