"关卡","年月","行驶方向","车辆种类","车流量"
"SZB","201301","IB","1",110629
"SZB","201301","IB","23",14618
"SZB","201301","IB","36",22107
"SZB","201301","OB","23",14145
"SZB","201301","OB","36",47266
"SZB","201301","OB","1",123684
"SZB","201302","OB","36",24762
"SZB","201302","OB","1",101026
"SZB","201302","IB","1",90793
"SZB","201302","IB","23",12287
"SZB","201302","IB","36",12966
"SZB","201302","OB","23",12072
"SZB","201303","IB","23",15195
"SZB","201303","OB","23",14953
"SZB","201303","IB","1",103897
"SZB","201303","OB","36",41989
"SZB","201303","IB","36",21268
"SZB","201303","OB","1",114949
"SZB","201304","IB","1",104183
"SZB","201304","OB","23",14855
"SZB","201304","OB","1",113130
"SZB","201304","OB","36",39906
"SZB","201304","IB","36",19880
"SZB","201304","IB","23",14996
"SZB","201305","IB","1",103736
"SZB","201305","IB","23",16249
"SZB","201305","OB","36",39687
"SZB","201305","OB","1",111193
"SZB","201305","OB","23",16378
"SZB","201305","IB","36",20141
"SZB","201306","IB","23",15656
"SZB","201306","OB","1",108223
"SZB","201306","OB","23",15581
"SZB","201306","IB","36",18280
"SZB","201306","OB","36",36836
"SZB","201306","IB","1",102011
"SZB","201307","IB","36",19503
"SZB","201307","IB","1",105531
"SZB","201307","OB","36",39121
"SZB","201307","OB","1",112460
"SZB","201307","OB","23",15951
"SZB","201307","IB","23",16218
"SZB","201308","IB","1",111469
"SZB","201308","OB","23",15615
"SZB","201308","OB","1",117784
"SZB","201308","IB","36",18054
"SZB","201308","IB","23",15644
"SZB","201308","OB","36",37914
"SZB","201309","OB","36",37105
"SZB","201309","OB","23",14883
"SZB","201309","OB","1",109042
"SZB","201309","IB","1",103558
"SZB","201309","IB","23",15022
"SZB","201309","IB","36",17625
"SZB","201310","OB","23",15223
"SZB","201310","IB","23",15364
"SZB","201310","IB","36",18026
"SZB","201310","IB","1",109742
"SZB","201310","OB","36",35881
"SZB","201310","OB","1",117302
"SZB","201311","IB","1",106394
"SZB","201311","IB","36",19289
"SZB","201311","OB","36",37114
"SZB","201311","IB","23",15645
"SZB","201311","OB","23",15672
"SZB","201311","OB","1",111540
"SZB","201312","IB","23",16040
"SZB","201312","IB","36",19918
"SZB","201312","OB","1",116055
"SZB","201312","OB","36",38286
"SZB","201312","OB","23",15741
"SZB","201312","IB","1",110254
"SZB","201401","OB","36",41426
"SZB","201401","IB","36",21206
"SZB","201401","OB","23",15970
"SZB","201401","OB","1",122859
"SZB","201401","IB","23",15814
"SZB","201401","IB","1",116126
"SZB","201402","IB","1",96356
"SZB","201402","OB","1",101205
"SZB","201402","OB","23",13321
"SZB","201402","OB","36",25574
"SZB","201402","IB","23",14203
"SZB","201402","IB","36",15315
"SZB","201403","OB","36",41927
"SZB","201403","IB","1",112909
"SZB","201403","OB","23",15089
"SZB","201403","IB","36",24590
"SZB","201403","OB","1",118031
"SZB","201403","IB","23",15186
"SZB","201404","IB","36",25886
"SZB","201404","OB","1",101359
"SZB","201404","OB","36",42296
"SZB","201404","IB","23",15246
"SZB","201404","OB","23",15014
"SZB","201404","IB","1",99383
"SZB","201405","OB","1",101781
"SZB","201405","OB","23",15532
"SZB","201405","IB","36",27643
"SZB","201405","IB","23",15547
"SZB","201405","OB","36",43838
"SZB","201405","IB","1",100196
"SZB","201406","IB","1",100110
"SZB","201406","OB","23",14872
"SZB","201406","OB","1",102280
"SZB","201406","OB","36",42264
"SZB","201406","IB","36",22428
"SZB","201406","IB","23",15062
"SZB","201407","IB","23",16064
"SZB","201407","IB","36",26369
"SZB","201407","OB","1",107834
"SZB","201407","OB","23",15278
"SZB","201407","OB","36",47945
"SZB","201407","IB","1",106022
"SZB","201408","OB","36",46339
"SZB","201408","OB","23",15167
"SZB","201408","IB","36",24021
"SZB","201408","OB","1",111813
"SZB","201408","IB","1",111077
"SZB","201408","IB","23",15375
"SZB","201409","OB","36",24664
"SZB","201409","IB","36",13220
"SZB","201409","OB","23",15056
"SZB","201409","IB","1",103313
"SZB","201409","OB","1",105798
"SZB","201409","IB","23",14958
"SZB","201410","OB","23",15118
"SZB","201410","IB","23",15415
"SZB","201410","IB","36",14467
"SZB","201410","OB","36",29197
"SZB","201410","OB","1",109832
"SZB","201410","IB","1",107596
"SZB","201411","OB","36",32298
"SZB","201411","OB","1",105340
"SZB","201411","IB","36",17537
"SZB","201411","IB","23",16267
"SZB","201411","IB","1",104231
"SZB","201411","OB","23",16680
"SZB","201412","IB","1",110027
"SZB","201412","OB","23",16525
"SZB","201412","OB","1",111902
"SZB","201412","IB","36",17849
"SZB","201412","OB","36",34033
"SZB","201412","IB","23",16638
"SZB","201501","IB","1",112463
"SZB","201501","OB","1",114300
"SZB","201501","IB","23",16566
"SZB","201501","IB","36",17413
"SZB","201501","OB","23",17075
"SZB","201501","OB","36",32715
"SZB","201502","OB","23",13715
"SZB","201502","IB","23",13830
"SZB","201502","OB","36",21634
"SZB","201502","IB","1",98516
"SZB","201502","IB","36",10787
"SZB","201502","OB","1",99918
"SZB","201503","OB","1",112906
"SZB","201503","IB","1",110038
"SZB","201503","IB","23",16207
"SZB","201503","OB","23",16225
"SZB","201503","OB","36",32199
"SZB","201503","IB","36",17848
"SZB","201504","IB","1",110139
"SZB","201504","OB","23",15791
"SZB","201504","OB","1",111917
"SZB","201504","IB","36",18894
"SZB","201504","OB","36",33406
"SZB","201504","IB","23",15750
"SZB","201505","IB","36",18011
"SZB","201505","OB","23",16681
"SZB","201505","OB","1",109910
"SZB","201505","OB","36",32613
"SZB","201505","IB","1",108594
"SZB","201505","IB","23",16129
"SZB","201506","OB","36",33962
"SZB","201506","OB","23",15421
"SZB","201506","OB","1",111698
"SZB","201506","IB","23",14936
"SZB","201506","IB","1",108687
"SZB","201506","IB","36",18896
"SZB","201507","OB","23",17048
"SZB","201507","OB","36",35780
"SZB","201507","IB","23",16125
"SZB","201507","OB","1",112279
"SZB","201507","IB","1",110454
"SZB","201507","IB","36",21180
"SZB","201508","OB","1",116440
"SZB","201508","OB","36",34066
"SZB","201508","OB","23",15732
"SZB","201508","IB","1",114520
"SZB","201508","IB","23",15653
"SZB","201508","IB","36",21687
"SZB","201509","IB","1",111068
"SZB","201509","OB","1",112731
"SZB","201509","OB","23",15909
"SZB","201509","IB","23",15526
"SZB","201509","OB","36",35189
"SZB","201509","IB","36",23445
"SZB","201510","IB","23",16007
"SZB","201510","OB","36",32399
"SZB","201510","OB","1",117769
"SZB","201510","IB","1",115894
"SZB","201510","OB","23",16115
"SZB","201510","IB","36",22266
"SZB","201511","IB","36",25955
"SZB","201511","IB","1",110227
"SZB","201511","OB","1",112924
"SZB","201511","OB","36",35460
"SZB","201511","IB","23",15824
"SZB","201511","OB","23",15639
"SZB","201512","IB","1",116656
"SZB","201512","IB","23",15751
"SZB","201512","OB","36",38150
"SZB","201512","IB","36",28607
"SZB","201512","OB","1",118199
"SZB","201512","OB","23",16558
"SZB","201601","OB","1",124454
"SZB","201601","IB","23",15879
"SZB","201601","OB","36",41697
"SZB","201601","IB","36",30730
"SZB","201601","IB","1",122976
"SZB","201601","OB","23",15689
"SZB","201602","OB","36",22108
"SZB","201602","OB","23",13857
"SZB","201602","OB","1",104090
"SZB","201602","IB","36",17909
"SZB","201602","IB","1",101586
"SZB","201602","IB","23",14362
"SZB","201603","IB","23",15612
"SZB","201603","OB","23",15408
"SZB","201603","OB","36",43343
"SZB","201603","IB","36",35342
"SZB","201603","OB","1",120281
"SZB","201603","IB","1",117582
"SZB","201604","IB","36",32500
"SZB","201604","OB","1",122901
"SZB","201604","IB","23",14433
"SZB","201604","IB","1",121282
"SZB","201604","OB","23",14903
"SZB","201604","OB","36",38626
"SZB","201605","IB","23",15297
"SZB","201605","OB","1",123284
"SZB","201605","OB","23",15982
"SZB","201605","IB","36",31144
"SZB","201605","OB","36",36163
"SZB","201605","IB","1",120367
"SZB","201606","OB","23",15975
"SZB","201606","IB","23",14987
"SZB","201606","OB","36",38189
"SZB","201606","OB","1",123238
"SZB","201606","IB","1",120645
"SZB","201606","IB","36",31122
"SZB","201607","OB","1",127395
"SZB","201607","IB","1",125776
"SZB","201607","IB","36",33797
"SZB","201607","OB","36",41198
"SZB","201607","OB","23",15840
"SZB","201607","IB","23",15257
"SZB","201608","IB","1",126445
"SZB","201608","IB","36",35494
"SZB","201608","IB","23",16006
"SZB","201608","OB","36",44817
"SZB","201608","OB","1",129544
"SZB","201608","OB","23",16839
"SZB","201609","OB","23",15188
"SZB","201609","IB","36",37853
"SZB","201609","OB","1",124551
"SZB","201609","OB","36",45442
"SZB","201609","IB","23",15489
"SZB","201609","IB","1",122921
"SZB","201610","OB","1",127311
"SZB","201610","IB","36",35515
"SZB","201610","IB","1",124406
"SZB","201610","OB","36",40168
"SZB","201610","IB","23",14825
"SZB","201610","OB","23",15239
"SZB","201611","IB","23",14474
"SZB","201611","OB","1",125918
"SZB","201611","OB","23",14927
"SZB","201611","IB","1",123183
"SZB","201611","OB","36",48804
"SZB","201611","IB","36",45909
"SZB","201612","OB","1",130981
"SZB","201612","OB","36",49327
"SZB","201612","OB","23",15243
"SZB","201612","IB","36",45708
"SZB","201612","IB","23",14872
"SZB","201612","IB","1",129972
"SZB","201701","OB","1",131627
"SZB","201701","OB","36",40609
"SZB","201701","IB","1",128926
"SZB","201701","IB","36",36480
"SZB","201701","OB","23",14480
"SZB","201701","IB","23",14695
"SZB","201702","IB","1",112838
"SZB","201702","OB","23",13671
"SZB","201702","OB","1",115213
"SZB","201702","IB","23",13391
"SZB","201702","IB","36",31117
"SZB","201702","OB","36",33067
"SZB","201703","IB","36",45235
"SZB","201703","OB","36",49875
"SZB","201703","OB","23",14903
"SZB","201703","IB","23",15070
"SZB","201703","OB","1",133164
"SZB","201703","IB","1",130422
"SZB","201704","OB","36",45350
"SZB","201704","IB","36",42165
"SZB","201704","OB","23",15703
"SZB","201704","IB","23",15092
"SZB","201704","OB","1",129540
"SZB","201704","IB","1",127426
"SZB","201705","IB","36",46683
"SZB","201705","OB","36",50119
"SZB","201705","OB","23",15274
"SZB","201705","IB","23",14877
"SZB","201705","OB","1",132675
"SZB","201705","IB","1",129379
"SZB","201706","OB","36",51455
"SZB","201706","IB","36",47093
"SZB","201706","OB","23",14033
"SZB","201706","IB","23",13298
"SZB","201706","OB","1",130471
"SZB","201706","IB","1",128154
"SZB","201707","IB","36",45618
"SZB","201707","OB","36",51583
"SZB","201707","OB","23",14181
"SZB","201707","IB","23",13494
"SZB","201707","OB","1",137403
"SZB","201707","IB","1",134590
"SZB","201708","IB","1",138991
"SZB","201708","OB","1",141472
"SZB","201708","IB","23",13621
"SZB","201708","OB","23",13353
"SZB","201708","IB","36",41609
"SZB","201708","OB","36",51226
"SZB","201709","IB","36",44065
"SZB","201709","OB","36",53195
"SZB","201709","IB","1",139306
"SZB","201709","OB","1",141641
"SZB","201709","IB","23",12861
"SZB","201709","OB","23",13836
"SZB","201710","IB","1",142447
"SZB","201710","OB","1",145520
"SZB","201710","IB","23",12627
"SZB","201710","OB","23",12805
"SZB","201710","IB","36",39663
"SZB","201710","OB","36",47712
"SZB","201711","IB","36",46518
"SZB","201711","OB","36",55093
"SZB","201711","OB","23",12725
"SZB","201711","IB","23",12518
"SZB","201711","OB","1",142368
"SZB","201711","IB","1",139837
"SZB","201712","OB","36",54569
"SZB","201712","IB","36",48940
"SZB","201712","OB","23",13386
"SZB","201712","IB","23",12622
"SZB","201712","OB","1",137793
"SZB","201712","IB","1",137339
"SZB","201801","OB","36",56288
