"年月","关口","抵港或离港","人次"
"201301","MKT","DB",15027
"201301","LMC","DB",1113271
"201301","LMC","AV",1268889
"201301","LWT","AV",4086461
"201301","SZB","AV",1332729
"201301","STK","AV",157524
"201301","HHS","DB",182512
"201301","LWT","DB",4216098
"201301","CFT","AV",331967
"201301","RTT","AV",13
"201301","MKT","AV",14169
"201301","TMFT","AV",0
"201301","TMFT","DB",0
"201301","HARB","DB",32642
"201301","MFT","AV",645214
"201301","STK","DB",146633
"201301","SZB","DB",1344212
"201301","HHS","AV",180872
"201301","AIR","AV",1545253
"201301","LMCSL","DB",1991741
"201301","RTT","DB",1
"201301","CFT","DB",394009
"201301","AIR","DB",1511675
"201301","LMCSL","AV",2117413
"201301","HARB","AV",34557
"201301","MFT","DB",709549
"201302","CFT","AV",354882
"201302","LMCSL","DB",1649172
"201302","AIR","AV",1637491
"201302","HARB","AV",42419
"201302","MKT","AV",7837
"201302","MFT","DB",777481
"201302","HHS","DB",177105
"201302","LMC","AV",1163457
"201302","SZB","DB",1312947
"201302","AIR","DB",1518452
"201302","MKT","DB",8554
"201302","STK","DB",143274
"201302","STK","AV",145270
"201302","LWT","AV",3415490
"201302","TMFT","DB",0
"201302","LMCSL","AV",1684340
"201302","LMC","DB",1034706
"201302","HHS","AV",166850
"201302","CFT","DB",414576
"201302","HARB","DB",40572
"201302","SZB","AV",1238400
"201302","RTT","DB",0
"201302","LWT","DB",3537387
"201302","TMFT","AV",0
"201302","MFT","AV",702312
"201302","RTT","AV",5
"201303","LWT","AV",3908934
"201303","MKT","AV",11945
"201303","HARB","AV",49800
"201303","MFT","DB",805648
"201303","AIR","AV",1668272
"201303","CFT","DB",436111
"201303","LWT","DB",4208247
"201303","LMCSL","AV",1942781
"201303","SZB","AV",1237960
"201303","HHS","DB",187729
"201303","CFT","AV",339127
"201303","TMFT","DB",0
"201303","HHS","AV",179423
"201303","LMCSL","DB",1927667
"201303","RTT","AV",2
"201303","SZB","DB",1348976
"201303","MKT","DB",12291
"201303","AIR","DB",1754407
"201303","RTT","DB",8
"201303","TMFT","AV",0
"201303","MFT","AV",686975
"201303","HARB","DB",49364
"201303","LMC","AV",1303047
"201303","STK","AV",146831
"201303","LMC","DB",1132099
"201303","STK","DB",151234
"201304","AIR","DB",1553458
"201304","LWT","AV",3936143
"201304","HARB","AV",38112
"201304","RTT","DB",7
"201304","LMC","AV",1359550
"201304","HHS","AV",189724
"201304","LMCSL","AV",1899348
"201304","HARB","DB",38496
"201304","TMFT","DB",0
"201304","HHS","DB",182084
"201304","RTT","AV",10
"201304","MKT","DB",10595
"201304","LMCSL","DB",1741311
"201304","MFT","DB",764801
"201304","STK","AV",153842
"201304","MFT","AV",658926
"201304","STK","DB",139289
"201304","CFT","AV",347199
"201304","SZB","AV",1307557
"201304","TMFT","AV",0
"201304","MKT","AV",10401
"201304","LMC","DB",1058891
"201304","SZB","DB",1253684
"201304","AIR","AV",1751933
"201304","LWT","DB",3875406
"201304","CFT","DB",417427
"201305","HHS","AV",176710
"201305","AIR","DB",1557017
"201305","LMC","AV",1260688
"201305","SZB","AV",1192178
"201305","RTT","DB",0
"201305","LMCSL","DB",1792289
"201305","HARB","DB",28020
"201305","STK","DB",129835
"201305","HHS","DB",178914
"201305","STK","AV",134230
"201305","CFT","AV",315867
"201305","RTT","AV",6
"201305","HARB","AV",28260
"201305","LWT","DB",3917651
"201305","TMFT","AV",0
"201305","AIR","AV",1634053
"201305","MFT","AV",648327
"201305","MFT","DB",779016
"201305","LMCSL","AV",1893250
"201305","TMFT","DB",0
"201305","LWT","AV",3749645
"201305","MKT","AV",12276
"201305","CFT","DB",403012
"201305","LMC","DB",1060950
"201305","SZB","DB",1254879
"201305","MKT","DB",12329
"201306","AIR","DB",1699418
"201306","LWT","AV",3563037
"201306","STK","AV",132274
"201306","LMCSL","DB",1830624
"201306","LMC","DB",1043601
"201306","AIR","AV",1726547
"201306","MFT","DB",781647
"201306","LMCSL","AV",1897437
"201306","KTCT","DB",3106
"201306","HHS","AV",169058
