日期,口岸,出入境,香港居民,内地访客,其他访客,旅客总和,私家车,旅游巴士,跨境穿梭巴士,货车及货柜车
2021-01,中国客运码头,入境,0,0,0,0,0,0,0,0
2021-01,中国客运码头,出境,0,0,0,0,0,0,0,0
2021-01,启德邮轮码头,入境,0,0,0,0,0,0,0,0
2021-01,启德邮轮码头,出境,0,0,0,0,0,0,0,0
2021-01,屯门客运码头,入境,0,0,0,0,0,0,0,0
2021-01,屯门客运码头,出境,0,0,0,0,0,0,0,0
2021-01,文锦渡,入境,0,0,0,0,0,0,0,50974
2021-01,文锦渡,出境,0,0,0,0,0,0,0,40116
2021-01,机场,入境,16292,114,518,16924,0,0,0,0
2021-01,机场,出境,27182,484,1214,28880,0,0,0,0
2021-01,沙头角,入境,0,0,0,0,0,0,0,8866
2021-01,沙头角,出境,0,0,0,0,0,0,0,12649
2021-01,深圳湾,入境,29270,2405,62,31737,158,109,0,82568
2021-01,深圳湾,出境,43250,3674,82,47006,274,32,0,74296
2021-01,港口管制,入境,0,0,0,0,0,0,0,0
2021-01,港口管制,出境,0,0,0,0,0,0,0,0
2021-01,港澳客轮码头,入境,0,0,0,0,0,0,0,0
2021-01,港澳客轮码头,出境,0,0,0,0,0,0,0,0
2021-01,港珠澳大桥,入境,3109,103,122,3334,80,0,586,5540
2021-01,港珠澳大桥,出境,5800,252,56,6108,28,1,577,6163
2021-01,红磡,入境,0,0,0,0,0,0,0,0
2021-01,红磡,出境,0,0,0,0,0,0,0,0
2021-01,罗湖,入境,0,0,0,0,0,0,0,0
2021-01,罗湖,出境,0,0,0,0,0,0,0,0
2021-01,落马洲,入境,0,0,0,0,0,0,0,127206
2021-01,落马洲,出境,0,0,0,0,0,0,0,131457
2021-01,落马洲支线,入境,0,0,0,0,0,0,0,0
2021-01,落马洲支线,出境,0,0,0,0,0,0,0,0
2021-01,香园围,入境,0,0,0,0,0,0,0,6086
2021-01,香园围,出境,0,0,0,0,0,0,0,16383
2021-01,高铁西九龙,入境,0,0,0,0,0,0,0,0
2021-01,高铁西九龙,出境,0,0,0,0,0,0,0,0
2021-02,中国客运码头,入境,0,0,0,0,0,0,0,0
2021-02,中国客运码头,出境,0,0,0,0,0,0,0,0
2021-02,启德邮轮码头,入境,0,0,0,0,0,0,0,0
2021-02,启德邮轮码头,出境,0,0,0,0,0,0,0,0
2021-02,屯门客运码头,入境,0,0,0,0,0,0,0,0
2021-02,屯门客运码头,出境,0,0,0,0,0,0,0,0
2021-02,文锦渡,入境,0,0,0,0,0,0,0,26616
2021-02,文锦渡,出境,0,0,0,0,0,0,0,20982
2021-02,机场,入境,12804,93,423,13320,0,0,0,0
2021-02,机场,出境,16952,234,975,18161,0,0,0,0
2021-02,沙头角,入境,0,0,0,0,0,0,0,4397
2021-02,沙头角,出境,0,0,0,0,0,0,0,7205
