Date,Checkpoint,Direction,HK_Residents,Mainland_Visitors,Other_Visitors,Total_Passengers,Private_Cars,Tour_Buses,Cross_Border_Shuttle_Buses,Trucks_Containers
2021-01,China Ferry Terminal,Inbound,0,0,0,0,0,0,0,0
2021-01,China Ferry Terminal,Outbound,0,0,0,0,0,0,0,0
2021-01,Kai Tak Cruise Terminal,Inbound,0,0,0,0,0,0,0,0
2021-01,Kai Tak Cruise Terminal,Outbound,0,0,0,0,0,0,0,0
2021-01,Tuen Mun Ferry Terminal,Inbound,0,0,0,0,0,0,0,0
2021-01,Tuen Mun Ferry Terminal,Outbound,0,0,0,0,0,0,0,0
2021-01,Man Kam To,Inbound,0,0,0,0,0,0,0,50974
2021-01,Man Kam To,Outbound,0,0,0,0,0,0,0,40116
2021-01,Airport,Inbound,16292,114,518,16924,0,0,0,0
2021-01,Airport,Outbound,27182,484,1214,28880,0,0,0,0
2021-01,Sha Tau Kok,Inbound,0,0,0,0,0,0,0,8866
2021-01,Sha Tau Kok,Outbound,0,0,0,0,0,0,0,12649
2021-01,Shenzhen Bay,Inbound,29270,2405,62,31737,158,109,0,82568
2021-01,Shenzhen Bay,Outbound,43250,3674,82,47006,274,32,0,74296
2021-01,Port Control,Inbound,0,0,0,0,0,0,0,0
2021-01,Port Control,Outbound,0,0,0,0,0,0,0,0
2021-01,Hong Kong-Macau Ferry Terminal,Inbound,0,0,0,0,0,0,0,0
2021-01,Hong Kong-Macau Ferry Terminal,Outbound,0,0,0,0,0,0,0,0
2021-01,Hong Kong-Zhuhai-Macau Bridge,Inbound,3109,103,122,3334,80,0,586,5540
2021-01,Hong Kong-Zhuhai-Macau Bridge,Outbound,5800,252,56,6108,28,1,577,6163
2021-01,Hung Hom,Inbound,0,0,0,0,0,0,0,0
2021-01,Hung Hom,Outbound,0,0,0,0,0,0,0,0
2021-01,Luohu,Inbound,0,0,0,0,0,0,0,0
2021-01,Luohu,Outbound,0,0,0,0,0,0,0,0
2021-01,Lok Ma Chau,Inbound,0,0,0,0,0,0,0,127206
2021-01,Lok Ma Chau,Outbound,0,0,0,0,0,0,0,131457
2021-01,Lok Ma Chau Loop,Inbound,0,0,0,0,0,0,0,0
2021-01,Lok Ma Chau Loop,Outbound,0,0,0,0,0,0,0,0
2021-01,Heung Yuen Wai,Inbound,0,0,0,0,0,0,0,6086
2021-01,Heung Yuen Wai,Outbound,0,0,0,0,0,0,0,16383
2021-01,West Kowloon (High-speed Rail),Inbound,0,0,0,0,0,0,0,0
2021-01,West Kowloon (High-speed Rail),Outbound,0,0,0,0,0,0,0,0
2021-02,China Ferry Terminal,Inbound,0,0,0,0,0,0,0,0
2021-02,China Ferry Terminal,Outbound,0,0,0,0,0,0,0,0
2021-02,Kai Tak Cruise Terminal,Inbound,0,0,0,0,0,0,0,0
2021-02,Kai Tak Cruise Terminal,Outbound,0,0,0,0,0,0,0,0
2021-02,Tuen Mun Ferry Terminal,Inbound,0,0,0,0,0,0,0,0
2021-02,Tuen Mun Ferry Terminal,Outbound,0,0,0,0,0,0,0,0
2021-02,Man Kam To,Inbound,0,0,0,0,0,0,0,26616
2021-02,Man Kam To,Outbound,0,0,0,0,0,0,0,20982
2021-02,Airport,Inbound,12804,93,423,13320,0,0,0,0
2021-02,Airport,Outbound,16952,234,975,18161,0,0,0,0
2021-02,Sha Tau Kok,Inbound,0,0,0,0,0,0,0,4397
2021-02,Sha Tau Kok,Outbound,0,0,0,0,0,0,0,7205
2021-02,Shenzhen Bay,Inbound,48855,3343,51,52249,161,116,0,61018
2021-02,Shenzhen Bay,Outbound,15789,1478,42,17309,231,105,0,62878
2021-02,Port Control,Inbound,0,0,0,0,0,0,0,0
2021-02,Port Control,Outbound,0,0,0,0,0,0,0,0
2021-02,Hong Kong-Macau Ferry Terminal,Inbound,0,0,0,0,0,0,0,0
2021-02,Hong Kong-Macau Ferry Terminal,Outbound,0,0,0,0,0,0,0,0
2021-02,Hong Kong-Zhuhai-Macau Bridge,Inbound,4987,157,196,5340,64,1,566,4015
2021-02,Hong Kong-Zhuhai-Macau Bridge,Outbound,3215,180,26,3421,11,1,566,4060
2021-02,Hung Hom,Inbound,0,0,0,0,0,0,0,0
2021-02,Hung Hom,Outbound,0,0,0,0,0,0,0,0
2021-02,Luohu,Inbound,0,0,0,0,0,0,0,0
2021-02,Luohu,Outbound,0,0,0,0,0,0,0,0
2021-02,Lok Ma Chau,Inbound,0,0,0,0,0,0,0,62274
2021-02,Lok Ma Chau,Outbound,0,0,0,0,0,0,0,57985
2021-02,Lok Ma Chau Loop,Inbound,0,0,0,0,0,0,0,0
2021-02,Lok Ma Chau Loop,Outbound,0,0,0,0,0,0,0,0
2021-02,Heung Yuen Wai,Inbound,0,0,0,0,0,0,0,7114
2021-02,Heung Yuen Wai,Outbound,0,0,0,0,0,0,0,12327
2021-02,West Kowloon (High-speed Rail),Inbound,0,0,0,0,0,0,0,0
2021-02,West Kowloon (High-speed Rail),Outbound,0,0,0,0,0,0,0,0
2021-03,China Ferry Terminal,Inbound,0,0,0,0,0,0,0,0
2021-03,China Ferry Terminal,Outbound,0,0,0,0,0,0,0,0
2021-03,Kai Tak Cruise Terminal,Inbound,0,0,0,0,0,0,0,0
2021-03,Kai Tak Cruise Terminal,Outbound,0,0,0,0,0,0,0,0
