"年月","指数类别","组别类别","基数年","指数","权数"
"201301","CCPI","12","Index : October 2014 - September 2015 = 100",96.6,7.98
"201301","CCPI","99","Index : October 2014 - September 2015 = 100",91.9,100
"201301","CCPI","1","Index : October 2014 - September 2015 = 100",94.7,0.4
"201301","CCPI","2","Index : October 2014 - September 2015 = 100",111.1,0.55
"201301","CCPI","3","Index : October 2014 - September 2015 = 100",93.7,1.76
"201301","CCPI","4","Index : October 2014 - September 2015 = 100",95,1.18
"201301","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201301","CCPI","6","Index : October 2014 - September 2015 = 100",95.2,0.41
"201301","CCPI","7","Index : October 2014 - September 2015 = 100",93.2,0.43
"201301","CCPI","8","Index : October 2014 - September 2015 = 100",93.8,1.46
"201301","CCPI","9","Index : October 2014 - September 2015 = 100",95.5,0.06
"201301","CCPI","10","Index : October 2014 - September 2015 = 100",85.2,0.24
"201301","CCPI","11","Index : October 2014 - September 2015 = 100",103,1.48
"201302","CCPI","12","Index : October 2014 - September 2015 = 100",97.1,7.98
"201302","CCPI","99","Index : October 2014 - September 2015 = 100",92.8,100
"201302","CCPI","1","Index : October 2014 - September 2015 = 100",94.9,0.4
"201302","CCPI","2","Index : October 2014 - September 2015 = 100",114.3,0.55
"201302","CCPI","3","Index : October 2014 - September 2015 = 100",94,1.76
"201302","CCPI","4","Index : October 2014 - September 2015 = 100",94.4,1.18
"201302","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201302","CCPI","6","Index : October 2014 - September 2015 = 100",95.5,0.41
"201302","CCPI","7","Index : October 2014 - September 2015 = 100",93.2,0.43
"201302","CCPI","8","Index : October 2014 - September 2015 = 100",94.4,1.46
"201302","CCPI","9","Index : October 2014 - September 2015 = 100",95.6,0.06
"201302","CCPI","10","Index : October 2014 - September 2015 = 100",85.3,0.24
"201302","CCPI","11","Index : October 2014 - September 2015 = 100",104.1,1.48
"201303","CCPI","1","Index : October 2014 - September 2015 = 100",103.5,0.4
"201303","CCPI","2","Index : October 2014 - September 2015 = 100",112.5,0.55
"201303","CCPI","3","Index : October 2014 - September 2015 = 100",94.1,1.76
"201303","CCPI","4","Index : October 2014 - September 2015 = 100",96,1.18
"201303","CCPI","5","Index : October 2014 - September 2015 = 100",100.3,0.01
"201303","CCPI","6","Index : October 2014 - September 2015 = 100",95.7,0.41
"201303","CCPI","7","Index : October 2014 - September 2015 = 100",93.2,0.43
"201303","CCPI","8","Index : October 2014 - September 2015 = 100",94.4,1.46
