"关卡","年月","行驶方向","车辆种类","车流量"
"LMC","201301","IB","25",13203
"LMC","201301","OB","1",144363
"LMC","201301","OB","23",21931
"LMC","201301","OB","25",13349
"LMC","201301","IB","1",154734
"LMC","201301","OB","36",209221
"LMC","201301","IB","36",238566
"LMC","201301","IB","23",21829
"LMC","201302","IB","23",20650
"LMC","201302","IB","36",133017
"LMC","201302","OB","36",117256
"LMC","201302","IB","1",120750
"LMC","201302","OB","23",19555
"LMC","201302","IB","25",11563
"LMC","201302","OB","25",11546
"LMC","201302","OB","1",111073
"LMC","201303","IB","23",23003
"LMC","201303","OB","1",138019
"LMC","201303","IB","25",12160
"LMC","201303","OB","23",22289
"LMC","201303","OB","36",206005
"LMC","201303","IB","36",233379
"LMC","201303","OB","25",12394
"LMC","201303","IB","1",149846
"LMC","201304","IB","36",227174
"LMC","201304","OB","36",200259
"LMC","201304","OB","1",136923
"LMC","201304","IB","1",145938
"LMC","201304","IB","25",12889
"LMC","201304","OB","25",12392
"LMC","201304","IB","23",21899
"LMC","201304","OB","23",21988
"LMC","201305","OB","1",143291
"LMC","201305","OB","36",206529
"LMC","201305","IB","25",12071
"LMC","201305","IB","1",149944
"LMC","201305","OB","25",12086
"LMC","201305","OB","23",22063
"LMC","201305","IB","23",22435
"LMC","201305","IB","36",230194
"LMC","201306","OB","1",138915
"LMC","201306","OB","25",11752
"LMC","201306","OB","23",21437
"LMC","201306","IB","25",12405
"LMC","201306","IB","36",222917
"LMC","201306","IB","1",145545
"LMC","201306","IB","23",20770
"LMC","201306","OB","36",198039
"LMC","201307","IB","1",153814
"LMC","201307","OB","36",212181
"LMC","201307","OB","23",23801
"LMC","201307","OB","1",148137
"LMC","201307","OB","25",11431
"LMC","201307","IB","36",236439
"LMC","201307","IB","25",11509
"LMC","201307","IB","23",23672
"LMC","201308","IB","36",236641
"LMC","201308","OB","25",11969
"LMC","201308","OB","1",148994
"LMC","201308","IB","1",157103
"LMC","201308","IB","23",25527
"LMC","201308","OB","23",25587
"LMC","201308","IB","25",11945
"LMC","201308","OB","36",210049
"LMC","201309","OB","23",23326
"LMC","201309","OB","25",10529
"LMC","201309","IB","1",142443
"LMC","201309","IB","25",10408
"LMC","201309","IB","36",229181
"LMC","201309","OB","1",136844
"LMC","201309","OB","36",203362
"LMC","201309","IB","23",23558
"LMC","201310","IB","1",151969
"LMC","201310","IB","23",24702
"LMC","201310","OB","25",9300
"LMC","201310","OB","36",194560
"LMC","201310","OB","1",145725
"LMC","201310","OB","23",25039
"LMC","201310","IB","25",9703
"LMC","201310","IB","36",215504
"LMC","201311","IB","25",9929
"LMC","201311","IB","1",145894
"LMC","201311","OB","25",9551
"LMC","201311","OB","36",211025
"LMC","201311","OB","1",139321
"LMC","201311","OB","23",24100
"LMC","201311","IB","36",233467
"LMC","201311","IB","23",23523
"LMC","201312","OB","25",10374
"LMC","201312","IB","1",150898
"LMC","201312","IB","36",233197
"LMC","201312","IB","25",10563
"LMC","201312","OB","23",24807
"LMC","201312","OB","1",145124
"LMC","201312","IB","23",24306
"LMC","201312","OB","36",210189
"LMC","201401","OB","25",9502
"LMC","201401","IB","36",213271
"LMC","201401","IB","1",149492
"LMC","201401","OB","23",24731
"LMC","201401","IB","23",23573
"LMC","201401","IB","25",9481
"LMC","201401","OB","1",143666
"LMC","201401","OB","36",189300
"LMC","201402","OB","36",126536
"LMC","201402","OB","23",21323
"LMC","201402","IB","25",8781
"LMC","201402","IB","1",117727
"LMC","201402","IB","36",140349
"LMC","201402","OB","25",9143
"LMC","201402","IB","23",22236
"LMC","201402","OB","1",114015
"LMC","201403","IB","36",217340
"LMC","201403","OB","1",137508
"LMC","201403","OB","23",24706
"LMC","201403","OB","36",194485
"LMC","201403","OB","25",10847
"LMC","201403","IB","23",23388
"LMC","201403","IB","1",142807
"LMC","201403","IB","25",10929
"LMC","201404","IB","1",151374
"LMC","201404","OB","36",188268
"LMC","201404","OB","1",149425
"LMC","201404","IB","36",210052
"LMC","201404","IB","25",10496
"LMC","201404","OB","23",24542
