货品分类1,货品分类2,货品分类3,货品编号,品牌,货品名称,超市代号,价格,优惠
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,海绵蛋糕,P000000190,嘉顿,孖宝蛋糕 - 樱桃提子 75克,WELLCOME,10.50,$16任拣2件
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,海绵蛋糕,P000000190,嘉顿,孖宝蛋糕 - 樱桃提子 75克,PARKNSHOP,10.00,买2件悭$4.00
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,海绵蛋糕,P000000190,嘉顿,孖宝蛋糕 - 樱桃提子 75克,JASONS,10.50,$16任拣2件
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,海绵蛋糕,P000002937,嘉顿,超软蛋糕 - 云呢拿味 8片,PARKNSHOP,31.00,
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,雪芳蛋糕,P000000038,嘉顿,雪芳蛋糕 - 朱古力味 60克,WELLCOME,10.00,$15任拣2件
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,雪芳蛋糕,P000000038,嘉顿,雪芳蛋糕 - 朱古力味 60克,PARKNSHOP,10.00,买2件悭$5.00
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,雪芳蛋糕,P000000038,嘉顿,雪芳蛋糕 - 朱古力味 60克,JASONS,10.00,$15任拣2件
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,瑞士卷,P000003270,嘉顿,迷你瑞士卷 - 朱古力 56克,WELLCOME,10.00,$15.5任拣2件
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,瑞士卷,P000003270,嘉顿,迷你瑞士卷 - 朱古力 56克,PARKNSHOP,10.00,买2件悭$3.00
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,瑞士卷,P000003270,嘉顿,迷你瑞士卷 - 朱古力 56克,JASONS,10.00,$15.5任拣2件
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,瑞士卷,P000000643,嘉顿,迷你瑞士卷 - 柠檬 56克,WELLCOME,10.00,$15.5任拣2件
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,瑞士卷,P000000643,嘉顿,迷你瑞士卷 - 柠檬 56克,PARKNSHOP,10.00,买2件悭$3.00
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,瑞士卷,P000000643,嘉顿,迷你瑞士卷 - 柠檬 56克,JASONS,10.00,$15.5任拣2件
面包蛋糕 / 谷类早餐 / 面包酱,蛋糕,朱古力批 / 朱古力蛋糕,P000000368,江户,朱古力批 (巧克力批) 300克,WELLCOME,15.50,
