"年月","甲级高价酒店房间入住率(%)","乙级高价酒店房间入住率(%)","中价酒店房间入住率(%)"
"202102","33","50","68"
"202103","31","52","67"
"202104","38","57","70"
"202105","40","59","69"
"202106","47","64","75"
"202107","52","70","73"
"202108","56","75","76"
"202109","53","75","78"
"202110","53","76","77"
"202111","53","75","76"
"202112","58","75","77"
"202201","38","63","61"
"202202","36","61","60"
"202203","51","68","55"
"202204","64","71","60"
"202205","67","74","68"
"202206","68","80","74"
"202207","64","79","77"
"202208","60","79","73"
"202209","51","75","68"
"202210","49","67","56"
"202211","58","72","66"
"202212","61","78","74"
"202301","61","72","63"
"202302","72","82","77"
"202303","79","85","85"
"202304","80","87","88"
"202305","74","85","85"
"202306","74","85","84"
"202307","80","88","90"
"202308","80","89","90"
"202309","71","79","81"
"202310","77","84","87"
"202311","80","89","92"
"202312","82","89","89"
"202401","77","87","88"
"202402","78","88","89"
"202403","77","86","88"
"202404","78","86","86"
"202405","73","79","80"
"202406","75","82","84"
"202407","79","87","92"
"202408","85","90","94"
"202409","76","81","84"
"202410","81","88","92"
"202411","85","92","96"
"202412","84","91","94"
"202501","80","92","93"
"202502","75","86","91"
"202503","80","90","94"
"202504","78","88","90"
"202505","74","84","87"
"202506","72","83","85"
"202507","78","87","92"
"202508","84","92","94"
"202509","76","85","87"
"202510","83","91","92"
"202511","87","95","96"
"202512","84","93","94"
"202601","84","92","93"
