"年月","酒店房间数目"
"202102","86915"
"202103","86915"
"202104","86915"
"202105","86915"
"202106","87042"
"202107","87302"
"202108","87318"
"202109","86967"
"202110","86957"
"202111","88495"
"202112","88614"
"202201","88968"
"202202","88968"
"202203","88968"
"202204","89019"
"202205","89019"
"202206","89521"
"202207","89521"
"202208","89522"
"202209","89315"
"202210","89201"
"202211","89205"
"202212","89205"
"202301","89205"
"202302","89205"
"202303","89254"
"202304","89254"
"202305","89253"
"202306","89292"
"202307","89290"
"202308","89721"
"202309","89638"
"202310","90174"
"202311","90150"
"202312","90109"
"202401","90503"
"202402","90503"
"202403","90501"
"202404","91046"
"202405","91151"
"202406","92065"
"202407","92065"
"202408","92049"
"202409","91961"
"202410","91961"
"202411","92922"
"202412","92922"
"202501","92907"
"202502","92907"
"202503","92907"
"202504","92907"
"202505","92905"
"202506","92905"
"202507","93000"
"202508","93495"
"202509","93495"
"202510","93539"
"202511","93539"
"202512","93472"
"202601","93481"
