表2.5：按食肆類別劃分的食肆收益數量指數 (2019年10月至2020年9月期內的平均指數 = 100),,,,,,,,,,,,,
 ,,,,,,,,,,,,,
食肆類別,,中式餐館,中式餐館,非中式餐館,非中式餐館,快餐店,快餐店,酒吧,酒吧,雜類飲食場所,雜類飲食場所,所有食肆,所有食肆
 , ,食肆收益數量指數,食肆收益數量指數,食肆收益數量指數,食肆收益數量指數,食肆收益數量指數,食肆收益數量指數,食肆收益數量指數,食肆收益數量指數,食肆收益數量指數,食肆收益數量指數,食肆收益數量指數,食肆收益數量指數
,,指數,按年變動百分率 (%),指數,按年變動百分率 (%),指數,按年變動百分率 (%),指數,按年變動百分率 (%),指數,按年變動百分率 (%),指數,按年變動百分率 (%)
年,季 / 同年累積季度數字,,,,,,,,,,,,
2023,3,116.1,14.0,117.2,1.9,108.9,7.1,91.0,6.7,122.5,13.8,115.0,8.5
2023,4,117.1,6.5,116.4,-0.8,108.3,3.8,160.2,16.0,123.0,9.1,115.8,3.9
2024,1,110.7,-1.7,133.1,-1.5,110.5,2.2,104.6,-19.9,117.0,3.0,117.8,-0.7
2024,2,105.6,-9.9,114.6,-4.6,115.9,4.7,129.0,-9.8,117.7,-3.2,111.8,-4.6
2024,3 p,104.7,-9.8,115.4,-1.5,115.1,5.7,81.9,-10.1,119.1,-2.8,111.2,-3.3
2024,1-3 p,107.0,-7.2,121.0,-2.5,113.8,4.2,105.2,-13.5,117.9,-1.1,113.6,-2.9
 ,,,,,,,,,,,,,
註釋：,,,,,,,,,,,,,
p 臨時數字,,,,,,,,,,,,,
